UserRank,UserID,MonthIndex,MonthDate,ActivityCount
51,1593,15,2009-11,7
52,419,15,2009-11,26
55,5206,15,2009-11,31
58,2505,15,2009-11,2
62,740,15,2009-11,4
65,410,15,2009-11,26
66,3673,15,2009-11,21
67,4712,15,2009-11,144
69,102,15,2009-11,152
71,5443,15,2009-11,8
76,385,15,2009-11,3
79,3984,15,2009-11,25
86,619,15,2009-11,105
88,578,15,2009-11,79
89,2556,15,2009-11,275
91,3271,15,2009-11,1
1,7355,16,2009-12,24
5,818,16,2009-12,25
6,3515,16,2009-12,85
7,3012,16,2009-12,459
12,7165,16,2009-12,1
16,1368,16,2009-12,18
18,1733,16,2009-12,618
22,1730,16,2009-12,119
24,538,16,2009-12,987
31,105,16,2009-12,29
32,3363,16,2009-12,2
38,59,16,2009-12,162
40,4441,16,2009-12,313
41,6544,16,2009-12,59
43,6515,16,2009-12,7
47,479,16,2009-12,44
51,1593,16,2009-12,5
52,419,16,2009-12,41
55,5206,16,2009-12,49
58,2505,16,2009-12,18
61,6759,16,2009-12,26
62,740,16,2009-12,30
65,410,16,2009-12,60
66,3673,16,2009-12,29
67,4712,16,2009-12,69
69,102,16,2009-12,63
71,5443,16,2009-12,4
79,3984,16,2009-12,22
86,619,16,2009-12,161
88,578,16,2009-12,60
89,2556,16,2009-12,192
1,7355,17,2010-01,176
5,818,17,2010-01,66
6,3515,17,2010-01,119
7,3012,17,2010-01,455
12,7165,17,2010-01,1
14,7764,17,2010-01,3
16,1368,17,2010-01,13
18,1733,17,2010-01,700
22,1730,17,2010-01,81
24,538,17,2010-01,927
31,105,17,2010-01,172
36,7717,17,2010-01,7
38,59,17,2010-01,229
40,4441,17,2010-01,562
41,6544,17,2010-01,2
47,479,17,2010-01,73
51,1593,17,2010-01,5
52,419,17,2010-01,40
55,5206,17,2010-01,71
58,2505,17,2010-01,4
61,6759,17,2010-01,8
62,740,17,2010-01,15
65,410,17,2010-01,164
66,3673,17,2010-01,39
67,4712,17,2010-01,83
69,102,17,2010-01,56
71,5443,17,2010-01,43
76,385,17,2010-01,31
79,3984,17,2010-01,40
86,619,17,2010-01,251
88,578,17,2010-01,54
89,2556,17,2010-01,269
90,7453,17,2010-01,138
1,7355,18,2010-02,73
5,818,18,2010-02,38
6,3515,18,2010-02,57
7,3012,18,2010-02,98
14,7764,18,2010-02,8
16,1368,18,2010-02,8
18,1733,18,2010-02,271
22,1730,18,2010-02,87
24,538,18,2010-02,663
31,105,18,2010-02,152
32,3363,18,2010-02,2
38,59,18,2010-02,252
40,4441,18,2010-02,512
41,6544,18,2010-02,5
47,479,18,2010-02,150
51,1593,18,2010-02,1
52,419,18,2010-02,58
55,5206,18,2010-02,42
58,2505,18,2010-02,2
61,6759,18,2010-02,21
62,740,18,2010-02,75
65,410,18,2010-02,248
66,3673,18,2010-02,29
67,4712,18,2010-02,57
69,102,18,2010-02,46
71,5443,18,2010-02,35
76,385,18,2010-02,10
79,3984,18,2010-02,45
86,619,18,2010-02,189
88,578,18,2010-02,40
89,2556,18,2010-02,126
90,7453,18,2010-02,87
1,7355,19,2010-03,120
5,818,19,2010-03,46
6,3515,19,2010-03,95
7,3012,19,2010-03,158
14,7764,19,2010-03,23
16,1368,19,2010-03,26
18,1733,19,2010-03,129
22,1730,19,2010-03,35
24,538,19,2010-03,178
28,9410,19,2010-03,101
31,105,19,2010-03,131
32,3363,19,2010-03,3
38,59,19,2010-03,174
40,4441,19,2010-03,347
41,6544,19,2010-03,4
47,479,19,2010-03,174
51,1593,19,2010-03,53
52,419,19,2010-03,94
55,5206,19,2010-03,88
58,2505,19,2010-03,1
61,6759,19,2010-03,31
62,740,19,2010-03,125
65,410,19,2010-03,80
66,3673,19,2010-03,96
67,4712,19,2010-03,185
68,9740,19,2010-03,1
69,102,19,2010-03,38
71,5443,19,2010-03,4
76,385,19,2010-03,38
79,3984,19,2010-03,51
86,619,19,2010-03,149
88,578,19,2010-03,147
89,2556,19,2010-03,206
90,7453,19,2010-03,60
1,7355,20,2010-04,42
5,818,20,2010-04,41
6,3515,20,2010-04,41
7,3012,20,2010-04,43
14,7764,20,2010-04,399
16,1368,20,2010-04,30
18,1733,20,2010-04,38
22,1730,20,2010-04,93
24,538,20,2010-04,59
28,9410,20,2010-04,119
31,105,20,2010-04,113
32,3363,20,2010-04,2
38,59,20,2010-04,144
40,4441,20,2010-04,450
41,6544,20,2010-04,34
43,6515,20,2010-04,2
47,479,20,2010-04,118
51,1593,20,2010-04,5
52,419,20,2010-04,155
55,5206,20,2010-04,39
58,2505,20,2010-04,4
61,6759,20,2010-04,47
62,740,20,2010-04,89
65,410,20,2010-04,133
66,3673,20,2010-04,59
67,4712,20,2010-04,144
69,102,20,2010-04,29
71,5443,20,2010-04,60
76,385,20,2010-04,39
79,3984,20,2010-04,38
86,619,20,2010-04,83
88,578,20,2010-04,59
89,2556,20,2010-04,70
90,7453,20,2010-04,97
97,10706,20,2010-04,16
99,10618,20,2010-04,42
1,7355,21,2010-05,42
5,818,21,2010-05,146
6,3515,21,2010-05,29
7,3012,21,2010-05,222
14,7764,21,2010-05,381
16,1368,21,2010-05,12
18,1733,21,2010-05,51
22,1730,21,2010-05,122
24,538,21,2010-05,27
28,9410,21,2010-05,145
31,105,21,2010-05,79
32,3363,21,2010-05,16
34,11360,21,2010-05,19
38,59,21,2010-05,148
40,4441,21,2010-05,372
41,6544,21,2010-05,71
43,6515,21,2010-05,22
47,479,21,2010-05,37
51,1593,21,2010-05,7
52,419,21,2010-05,188
55,5206,21,2010-05,43
61,6759,21,2010-05,54
62,740,21,2010-05,55
65,410,21,2010-05,17
66,3673,21,2010-05,163
67,4712,21,2010-05,123
69,102,21,2010-05,104
71,5443,21,2010-05,585
76,385,21,2010-05,40
79,3984,21,2010-05,24
81,11339,21,2010-05,11
86,619,21,2010-05,73
88,578,21,2010-05,87
89,2556,21,2010-05,37
90,7453,21,2010-05,237
91,3271,21,2010-05,1
97,10706,21,2010-05,172
99,10618,21,2010-05,105
1,7355,22,2010-06,18
3,13231,22,2010-06,147
5,818,22,2010-06,145
6,3515,22,2010-06,18
7,3012,22,2010-06,315
14,7764,22,2010-06,287
16,1368,22,2010-06,2
18,1733,22,2010-06,104
22,1730,22,2010-06,70
24,538,22,2010-06,25
28,9410,22,2010-06,62
31,105,22,2010-06,93
32,3363,22,2010-06,124
34,11360,22,2010-06,1
38,59,22,2010-06,152
40,4441,22,2010-06,425
41,6544,22,2010-06,53
43,6515,22,2010-06,397
47,479,22,2010-06,27
51,1593,22,2010-06,6
52,419,22,2010-06,168
55,5206,22,2010-06,12
58,2505,22,2010-06,1
61,6759,22,2010-06,62
62,740,22,2010-06,64
65,410,22,2010-06,66
66,3673,22,2010-06,244
67,4712,22,2010-06,207
69,102,22,2010-06,101
71,5443,22,2010-06,493
76,385,22,2010-06,54
79,3984,22,2010-06,33
81,11339,22,2010-06,28
86,619,22,2010-06,93
87,13118,22,2010-06,1
88,578,22,2010-06,107
89,2556,22,2010-06,58
90,7453,22,2010-06,114
91,3271,22,2010-06,2
97,10706,22,2010-06,335
99,10618,22,2010-06,21
1,7355,23,2010-07,32
3,13231,23,2010-07,309
5,818,23,2010-07,22
6,3515,23,2010-07,48
7,3012,23,2010-07,366
14,7764,23,2010-07,333
18,1733,23,2010-07,161
19,13975,23,2010-07,37
22,1730,23,2010-07,85
24,538,23,2010-07,63
25,17097,23,2010-07,1
28,9410,23,2010-07,41
31,105,23,2010-07,54
32,3363,23,2010-07,284
38,59,23,2010-07,110
40,4441,23,2010-07,23
41,6544,23,2010-07,43
43,6515,23,2010-07,4
47,479,23,2010-07,15
50,14456,23,2010-07,40
51,1593,23,2010-07,17
52,419,23,2010-07,145
55,5206,23,2010-07,23
61,6759,23,2010-07,125
62,740,23,2010-07,11
65,410,23,2010-07,15
66,3673,23,2010-07,183
67,4712,23,2010-07,125
68,9740,23,2010-07,3
69,102,23,2010-07,32
71,5443,23,2010-07,196
76,385,23,2010-07,72
77,13797,23,2010-07,79
79,3984,23,2010-07,43
81,11339,23,2010-07,185
86,619,23,2010-07,19
88,578,23,2010-07,48
89,2556,23,2010-07,25
90,7453,23,2010-07,5
91,3271,23,2010-07,9
97,10706,23,2010-07,106
99,10618,23,2010-07,7
1,7355,24,2010-08,60
3,13231,24,2010-08,272
5,818,24,2010-08,53
6,3515,24,2010-08,33
7,3012,24,2010-08,314
12,7165,24,2010-08,33
14,7764,24,2010-08,142
16,1368,24,2010-08,12
18,1733,24,2010-08,202
19,13975,24,2010-08,58
22,1730,24,2010-08,151
24,538,24,2010-08,167
28,9410,24,2010-08,57
31,105,24,2010-08,6
32,3363,24,2010-08,308
34,11360,24,2010-08,5
38,59,24,2010-08,81
40,4441,24,2010-08,3
41,6544,24,2010-08,15
43,6515,24,2010-08,1
47,479,24,2010-08,61
50,14456,24,2010-08,151
51,1593,24,2010-08,19
52,419,24,2010-08,178
55,5206,24,2010-08,15
58,2505,24,2010-08,6
59,15578,24,2010-08,3
61,6759,24,2010-08,135
62,740,24,2010-08,127
65,410,24,2010-08,43
66,3673,24,2010-08,21
67,4712,24,2010-08,95
69,102,24,2010-08,79
70,15269,24,2010-08,70
71,5443,24,2010-08,111
76,385,24,2010-08,106
77,13797,24,2010-08,388
79,3984,24,2010-08,71
81,11339,24,2010-08,276
86,619,24,2010-08,81
88,578,24,2010-08,22
89,2556,24,2010-08,4
90,7453,24,2010-08,1
91,3271,24,2010-08,59
92,15981,24,2010-08,171
97,10706,24,2010-08,319
99,10618,24,2010-08,24
1,7355,25,2010-09,8
2,16397,25,2010-09,14
3,13231,25,2010-09,205
5,818,25,2010-09,124
6,3515,25,2010-09,12
7,3012,25,2010-09,740
12,7165,25,2010-09,69
14,7764,25,2010-09,183
16,1368,25,2010-09,3
18,1733,25,2010-09,542
19,13975,25,2010-09,66
22,1730,25,2010-09,370
24,538,25,2010-09,133
25,17097,25,2010-09,14
28,9410,25,2010-09,117
31,105,25,2010-09,158
32,3363,25,2010-09,184
34,11360,25,2010-09,1
38,59,25,2010-09,121
40,4441,25,2010-09,3
41,6544,25,2010-09,15
43,6515,25,2010-09,2
47,479,25,2010-09,85
50,14456,25,2010-09,46
51,1593,25,2010-09,12
52,419,25,2010-09,374
55,5206,25,2010-09,12
58,2505,25,2010-09,4
59,15578,25,2010-09,187
61,6759,25,2010-09,152
62,740,25,2010-09,124
65,410,25,2010-09,10
66,3673,25,2010-09,16
67,4712,25,2010-09,110
68,9740,25,2010-09,4
69,102,25,2010-09,51
70,15269,25,2010-09,276
71,5443,25,2010-09,25
74,17350,25,2010-09,4
76,385,25,2010-09,97
77,13797,25,2010-09,365
79,3984,25,2010-09,83
81,11339,25,2010-09,311
86,619,25,2010-09,73
88,578,25,2010-09,8
89,2556,25,2010-09,6
90,7453,25,2010-09,5
91,3271,25,2010-09,86
92,15981,25,2010-09,299
97,10706,25,2010-09,181
99,10618,25,2010-09,10
1,7355,26,2010-10,7
2,16397,26,2010-10,17
3,13231,26,2010-10,147
5,818,26,2010-10,68
6,3515,26,2010-10,20
7,3012,26,2010-10,536
12,7165,26,2010-10,335
14,7764,26,2010-10,482
18,1733,26,2010-10,117
19,13975,26,2010-10,103
22,1730,26,2010-10,367
24,538,26,2010-10,110
25,17097,26,2010-10,13
28,9410,26,2010-10,6
30,18359,26,2010-10,68
31,105,26,2010-10,112
32,3363,26,2010-10,38
38,59,26,2010-10,81
40,4441,26,2010-10,5
41,6544,26,2010-10,18
43,6515,26,2010-10,137
47,479,26,2010-10,17
50,14456,26,2010-10,180
51,1593,26,2010-10,6
52,419,26,2010-10,164
55,5206,26,2010-10,10
58,2505,26,2010-10,3
59,15578,26,2010-10,159
61,6759,26,2010-10,71
62,740,26,2010-10,172
65,410,26,2010-10,27
66,3673,26,2010-10,67
67,4712,26,2010-10,145
69,102,26,2010-10,26
70,15269,26,2010-10,223
71,5443,26,2010-10,21
76,385,26,2010-10,87
77,13797,26,2010-10,280
79,3984,26,2010-10,89
81,11339,26,2010-10,95
86,619,26,2010-10,12
87,13118,26,2010-10,1
88,578,26,2010-10,6
89,2556,26,2010-10,24
90,7453,26,2010-10,116
91,3271,26,2010-10,45
92,15981,26,2010-10,105
97,10706,26,2010-10,99
99,10618,26,2010-10,9
2,16397,27,2010-11,49
3,13231,27,2010-11,159
5,818,27,2010-11,83
6,3515,27,2010-11,7
7,3012,27,2010-11,514
12,7165,27,2010-11,255
14,7764,27,2010-11,445
16,1368,27,2010-11,12
18,1733,27,2010-11,84
19,13975,27,2010-11,102
22,1730,27,2010-11,274
24,538,27,2010-11,131
25,17097,27,2010-11,40
28,9410,27,2010-11,1
30,18359,27,2010-11,157
31,105,27,2010-11,181
32,3363,27,2010-11,22
34,11360,27,2010-11,12
38,59,27,2010-11,74
40,4441,27,2010-11,1
41,6544,27,2010-11,35
43,6515,27,2010-11,7
47,479,27,2010-11,21
50,14456,27,2010-11,169
51,1593,27,2010-11,6
52,419,27,2010-11,224
55,5206,27,2010-11,59
59,15578,27,2010-11,177
61,6759,27,2010-11,65
62,740,27,2010-11,15
65,410,27,2010-11,29
66,3673,27,2010-11,66
67,4712,27,2010-11,148
68,9740,27,2010-11,2
69,102,27,2010-11,15
70,15269,27,2010-11,221
71,5443,27,2010-11,2
76,385,27,2010-11,60
77,13797,27,2010-11,337
79,3984,27,2010-11,26
81,11339,27,2010-11,63
86,619,27,2010-11,15
88,578,27,2010-11,44
89,2556,27,2010-11,17
90,7453,27,2010-11,16
91,3271,27,2010-11,36
92,15981,27,2010-11,33
97,10706,27,2010-11,54
99,10618,27,2010-11,2
2,16397,28,2010-12,3
3,13231,28,2010-12,537
5,818,28,2010-12,113
6,3515,28,2010-12,20
7,3012,28,2010-12,390
12,7165,28,2010-12,496
14,7764,28,2010-12,318
16,1368,28,2010-12,20
18,1733,28,2010-12,156
19,13975,28,2010-12,115
22,1730,28,2010-12,280
24,538,28,2010-12,148
25,17097,28,2010-12,15
28,9410,28,2010-12,7
30,18359,28,2010-12,108
31,105,28,2010-12,334
32,3363,28,2010-12,15
34,11360,28,2010-12,1
38,59,28,2010-12,67
41,6544,28,2010-12,26
47,479,28,2010-12,7
50,14456,28,2010-12,174
51,1593,28,2010-12,17
52,419,28,2010-12,174
55,5206,28,2010-12,13
59,15578,28,2010-12,20
61,6759,28,2010-12,151
62,740,28,2010-12,94
65,410,28,2010-12,54
66,3673,28,2010-12,88
67,4712,28,2010-12,92
69,102,28,2010-12,13
70,15269,28,2010-12,124
71,5443,28,2010-12,27
74,17350,28,2010-12,4
76,385,28,2010-12,96
77,13797,28,2010-12,224
79,3984,28,2010-12,21
81,11339,28,2010-12,74
87,13118,28,2010-12,2
88,578,28,2010-12,6
89,2556,28,2010-12,25
90,7453,28,2010-12,45
91,3271,28,2010-12,53
92,15981,28,2010-12,63
97,10706,28,2010-12,71
99,10618,28,2010-12,140
1,7355,29,2011-01,9
2,16397,29,2011-01,64
3,13231,29,2011-01,646
5,818,29,2011-01,288
6,3515,29,2011-01,27
7,3012,29,2011-01,531
12,7165,29,2011-01,724
14,7764,29,2011-01,217
16,1368,29,2011-01,20
18,1733,29,2011-01,103
19,13975,29,2011-01,148
22,1730,29,2011-01,163
24,538,29,2011-01,324
25,17097,29,2011-01,7
30,18359,29,2011-01,53
31,105,29,2011-01,89
32,3363,29,2011-01,237
38,59,29,2011-01,86
40,4441,29,2011-01,3
41,6544,29,2011-01,58
43,6515,29,2011-01,3
47,479,29,2011-01,10
50,14456,29,2011-01,136
51,1593,29,2011-01,31
52,419,29,2011-01,286
55,5206,29,2011-01,18
58,2505,29,2011-01,39
59,15578,29,2011-01,6
61,6759,29,2011-01,66
62,740,29,2011-01,138
65,410,29,2011-01,136
66,3673,29,2011-01,181
67,4712,29,2011-01,113
69,102,29,2011-01,15
70,15269,29,2011-01,173
71,5443,29,2011-01,20
74,17350,29,2011-01,3
76,385,29,2011-01,81
77,13797,29,2011-01,22
79,3984,29,2011-01,15
81,11339,29,2011-01,246
86,619,29,2011-01,3
88,578,29,2011-01,12
89,2556,29,2011-01,17
90,7453,29,2011-01,47
91,3271,29,2011-01,55
92,15981,29,2011-01,57
97,10706,29,2011-01,212
99,10618,29,2011-01,48
1,7355,30,2011-02,124
2,16397,30,2011-02,43
3,13231,30,2011-02,582
5,818,30,2011-02,362
6,3515,30,2011-02,58
7,3012,30,2011-02,352
12,7165,30,2011-02,434
14,7764,30,2011-02,205
16,1368,30,2011-02,123
18,1733,30,2011-02,270
19,13975,30,2011-02,143
22,1730,30,2011-02,130
24,538,30,2011-02,149
25,17097,30,2011-02,61
28,9410,30,2011-02,52
30,18359,30,2011-02,85
31,105,30,2011-02,92
32,3363,30,2011-02,323
34,11360,30,2011-02,1
36,7717,30,2011-02,78
38,59,30,2011-02,117
40,4441,30,2011-02,1
41,6544,30,2011-02,20
43,6515,30,2011-02,1
44,25673,30,2011-02,2
47,479,30,2011-02,10
50,14456,30,2011-02,246
51,1593,30,2011-02,10
52,419,30,2011-02,448
55,5206,30,2011-02,36
58,2505,30,2011-02,32
59,15578,30,2011-02,35
61,6759,30,2011-02,106
62,740,30,2011-02,14
65,410,30,2011-02,38
66,3673,30,2011-02,107
67,4712,30,2011-02,109
69,102,30,2011-02,11
70,15269,30,2011-02,55
71,5443,30,2011-02,55
72,25587,30,2011-02,5
76,385,30,2011-02,106
77,13797,30,2011-02,11
79,3984,30,2011-02,5
81,11339,30,2011-02,59
86,619,30,2011-02,2
87,13118,30,2011-02,12
88,578,30,2011-02,10
89,2556,30,2011-02,16
90,7453,30,2011-02,14
91,3271,30,2011-02,44
92,15981,30,2011-02,68
94,25565,30,2011-02,114
97,10706,30,2011-02,147
99,10618,30,2011-02,144
1,7355,31,2011-03,186
2,16397,31,2011-03,121
3,13231,31,2011-03,254
5,818,31,2011-03,573
6,3515,31,2011-03,103
7,3012,31,2011-03,455
12,7165,31,2011-03,467
14,7764,31,2011-03,130
16,1368,31,2011-03,388
18,1733,31,2011-03,146
19,13975,31,2011-03,89
22,1730,31,2011-03,137
24,538,31,2011-03,30
25,17097,31,2011-03,58
28,9410,31,2011-03,94
30,18359,31,2011-03,44
31,105,31,2011-03,32
32,3363,31,2011-03,351
34,11360,31,2011-03,3
36,7717,31,2011-03,35
38,59,31,2011-03,170
40,4441,31,2011-03,1
41,6544,31,2011-03,116
43,6515,31,2011-03,6
47,479,31,2011-03,11
49,27547,31,2011-03,7
50,14456,31,2011-03,201
51,1593,31,2011-03,7
52,419,31,2011-03,310
55,5206,31,2011-03,51
58,2505,31,2011-03,61
59,15578,31,2011-03,219
61,6759,31,2011-03,191
62,740,31,2011-03,24
65,410,31,2011-03,23
66,3673,31,2011-03,28
67,4712,31,2011-03,100
68,9740,31,2011-03,5
69,102,31,2011-03,1
70,15269,31,2011-03,103
71,5443,31,2011-03,28
72,25587,31,2011-03,79
73,27592,31,2011-03,20
74,17350,31,2011-03,2
76,385,31,2011-03,129
77,13797,31,2011-03,6
79,3984,31,2011-03,6
81,11339,31,2011-03,230
86,619,31,2011-03,23
87,13118,31,2011-03,25
88,578,31,2011-03,1
89,2556,31,2011-03,40
90,7453,31,2011-03,23
91,3271,31,2011-03,59
92,15981,31,2011-03,53
94,25565,31,2011-03,1026
97,10706,31,2011-03,129
99,10618,31,2011-03,50
1,7355,32,2011-04,166
2,16397,32,2011-04,169
3,13231,32,2011-04,644
5,818,32,2011-04,498
6,3515,32,2011-04,410
7,3012,32,2011-04,277
12,7165,32,2011-04,423
14,7764,32,2011-04,274
16,1368,32,2011-04,31
18,1733,32,2011-04,100
19,13975,32,2011-04,50
22,1730,32,2011-04,150
24,538,32,2011-04,16
25,17097,32,2011-04,82
28,9410,32,2011-04,48
30,18359,32,2011-04,78
31,105,32,2011-04,30
32,3363,32,2011-04,274
36,7717,32,2011-04,28
38,59,32,2011-04,93
40,4441,32,2011-04,1
41,6544,32,2011-04,60
47,479,32,2011-04,23
49,27547,32,2011-04,109
50,14456,32,2011-04,174
51,1593,32,2011-04,7
52,419,32,2011-04,5
55,5206,32,2011-04,49
57,28308,32,2011-04,11
58,2505,32,2011-04,4
59,15578,32,2011-04,68
61,6759,32,2011-04,165
62,740,32,2011-04,29
65,410,32,2011-04,13
66,3673,32,2011-04,23
67,4712,32,2011-04,124
68,9740,32,2011-04,9
69,102,32,2011-04,26
70,15269,32,2011-04,118
71,5443,32,2011-04,53
72,25587,32,2011-04,75
73,27592,32,2011-04,139
76,385,32,2011-04,37
77,13797,32,2011-04,14
79,3984,32,2011-04,29
81,11339,32,2011-04,76
86,619,32,2011-04,24
88,578,32,2011-04,32
89,2556,32,2011-04,11
90,7453,32,2011-04,49
91,3271,32,2011-04,16
92,15981,32,2011-04,30
94,25565,32,2011-04,731
95,29677,32,2011-04,18
97,10706,32,2011-04,24
99,10618,32,2011-04,68
0,38708,33,2011-05,7
1,7355,33,2011-05,138
2,16397,33,2011-05,740
3,13231,33,2011-05,143
5,818,33,2011-05,321
6,3515,33,2011-05,362
7,3012,33,2011-05,213
12,7165,33,2011-05,551
14,7764,33,2011-05,346
16,1368,33,2011-05,205
18,1733,33,2011-05,199
19,13975,33,2011-05,153
22,1730,33,2011-05,130
24,538,33,2011-05,48
25,17097,33,2011-05,135
28,9410,33,2011-05,86
30,18359,33,2011-05,101
31,105,33,2011-05,3
32,3363,33,2011-05,213
38,59,33,2011-05,67
41,6544,33,2011-05,72
47,479,33,2011-05,3
49,27547,33,2011-05,52
50,14456,33,2011-05,238
51,1593,33,2011-05,12
52,419,33,2011-05,2
53,31423,33,2011-05,141
55,5206,33,2011-05,84
58,2505,33,2011-05,4
59,15578,33,2011-05,72
61,6759,33,2011-05,82
62,740,33,2011-05,12
63,31770,33,2011-05,4
65,410,33,2011-05,19
66,3673,33,2011-05,22
67,4712,33,2011-05,83
68,9740,33,2011-05,6
69,102,33,2011-05,41
70,15269,33,2011-05,174
71,5443,33,2011-05,67
72,25587,33,2011-05,24
73,27592,33,2011-05,136
76,385,33,2011-05,17
77,13797,33,2011-05,22
79,3984,33,2011-05,14
81,11339,33,2011-05,111
83,31889,33,2011-05,5
86,619,33,2011-05,3
87,13118,33,2011-05,36
88,578,33,2011-05,15
89,2556,33,2011-05,57
90,7453,33,2011-05,49
91,3271,33,2011-05,29
92,15981,33,2011-05,89
94,25565,33,2011-05,112
95,29677,33,2011-05,156
97,10706,33,2011-05,53
99,10618,33,2011-05,43
0,38708,34,2011-06,24
1,7355,34,2011-06,146
2,16397,34,2011-06,518
3,13231,34,2011-06,306
5,818,34,2011-06,416
6,3515,34,2011-06,335
7,3012,34,2011-06,358
12,7165,34,2011-06,414
14,7764,34,2011-06,362
16,1368,34,2011-06,221
18,1733,34,2011-06,211
19,13975,34,2011-06,148
22,1730,34,2011-06,161
24,538,34,2011-06,15
25,17097,34,2011-06,49
28,9410,34,2011-06,117
30,18359,34,2011-06,178
31,105,34,2011-06,3
32,3363,34,2011-06,172
34,11360,34,2011-06,3
36,7717,34,2011-06,29
38,59,34,2011-06,64
40,4441,34,2011-06,2
41,6544,34,2011-06,282
43,6515,34,2011-06,252
44,25673,34,2011-06,1
46,31852,34,2011-06,3
47,479,34,2011-06,12
49,27547,34,2011-06,128
50,14456,34,2011-06,181
51,1593,34,2011-06,43
52,419,34,2011-06,10
53,31423,34,2011-06,493
55,5206,34,2011-06,74
57,28308,34,2011-06,19
58,2505,34,2011-06,97
59,15578,34,2011-06,50
61,6759,34,2011-06,59
62,740,34,2011-06,45
63,31770,34,2011-06,69
65,410,34,2011-06,2
66,3673,34,2011-06,6
67,4712,34,2011-06,22
68,9740,34,2011-06,26
69,102,34,2011-06,70
70,15269,34,2011-06,77
71,5443,34,2011-06,16
72,25587,34,2011-06,35
73,27592,34,2011-06,149
74,17350,34,2011-06,1
76,385,34,2011-06,66
77,13797,34,2011-06,21
79,3984,34,2011-06,4
81,11339,34,2011-06,98
83,31889,34,2011-06,1363
84,33261,34,2011-06,12
86,619,34,2011-06,3
87,13118,34,2011-06,245
88,578,34,2011-06,6
89,2556,34,2011-06,27
90,7453,34,2011-06,75
91,3271,34,2011-06,102
92,15981,34,2011-06,37
94,25565,34,2011-06,16
95,29677,34,2011-06,82
97,10706,34,2011-06,15
99,10618,34,2011-06,67
0,38708,35,2011-07,15
1,7355,35,2011-07,164
2,16397,35,2011-07,414
3,13231,35,2011-07,278
5,818,35,2011-07,393
6,3515,35,2011-07,129
7,3012,35,2011-07,116
12,7165,35,2011-07,142
14,7764,35,2011-07,241
16,1368,35,2011-07,177
18,1733,35,2011-07,67
19,13975,35,2011-07,101
20,34217,35,2011-07,9
22,1730,35,2011-07,111
24,538,35,2011-07,96
25,17097,35,2011-07,148
28,9410,35,2011-07,135
