Node,Degree,DegreeDeviation,Neighborhood,ConnectiveRedundancy,XNeighborhood,AvgShortestPath
53,22,1.130721,22,0.5,22,2.013889
54,55,3.247997,55,0.5864661654135339,55,1.773148
55,18,1.379758,18,0.64,18,2.078704
56,36,1.849970,36,0.55,36,1.907407
57,20,1.261400,20,0.4736842105263158,20,2.009259
58,27,1.335135,27,0.509090909090909,27,1.935185
59,43,2.759516,43,0.6260869565217391,43,1.833333
60,28,1.813655,28,0.6111111111111112,28,1.953704
61,17,1.461975,17,0.5853658536585367,17,2.055556
62,34,1.763766,34,0.5211267605633803,34,1.935185
63,30,1.837356,30,0.3877551020408163,30,1.949074
64,14,0.923815,14,0.30000000000000004,14,2.212963
65,25,1.548565,25,0.5192307692307692,25,1.986111
66,23,1.766524,23,0.5740740740740741,23,2.004630
67,29,2.066760,29,0.618421052631579,29,1.944444
68,26,1.700062,26,0.5666666666666667,26,1.976852
69,24,1.261400,24,0.368421052631579,24,1.990741
70,31,1.712108,31,0.5571428571428572,31,1.949074
71,23,1.346831,23,0.4651162790697675,23,2.046296
72,21,1.137397,21,0.46153846153846156,21,2.023148
73,23,1.552750,23,0.5660377358490566,23,2.027778
74,11,0.610880,11,0.3125,11,2.162037
75,25,1.430563,25,0.41860465116279066,25,2.009259
76,17,1.423362,17,0.5,17,2.060185
77,40,2.022320,40,0.5698924731182795,40,1.875000
78,25,1.607850,25,0.4897959183673469,25,1.976852
79,11,0.605545,11,0.2666666666666667,11,2.111111
80,7,0.660236,7,0.6818181818181819,7,2.203704
81,15,1.086821,15,0.625,15,2.083333
82,27,1.383281,27,0.55,27,1.976852
83,22,1.098699,22,0.46341463414634143,22,2.004630
84,44,2.781574,44,0.5849056603773585,44,1.856481
85,28,1.315547,28,0.41666666666666663,28,1.962963
86,15,0.922643,15,0.375,15,2.083333
87,37,2.672699,37,0.5375,37,1.884259
88,36,2.240538,36,0.5443037974683544,36,1.902778
89,48,3.948561,48,0.6129032258064516,48,1.833333
90,22,1.655579,22,0.56,22,1.995370
91,21,1.017425,21,0.4,21,2.055556
92,60,5.658479,60,0.7169811320754718,60,1.745370
93,25,1.575227,25,0.6212121212121212,25,1.990741
94,19,1.326193,19,0.5957446808510638,19,2.087963
95,30,1.858138,30,0.5081967213114754,30,1.930556
96,21,1.171133,21,0.5227272727272727,21,2.055556
97,24,1.266535,24,0.4545454545454546,24,1.995370
98,36,2.470814,36,0.6170212765957447,36,1.888889
99,34,1.661774,34,0.4769230769230769,34,1.921296
100,40,2.945145,40,0.6875,40,1.865741
101,35,2.358373,35,0.7154471544715447,35,1.898148
102,67,6.665621,67,0.732,67,1.717593
103,39,2.741425,39,0.5760869565217391,39,1.888889
104,36,2.799405,36,0.5764705882352941,36,1.870370
105,7,0.521055,7,0.30000000000000004,7,2.439815
106,11,0.689879,11,0.38888888888888884,11,2.245370
107,30,1.486918,30,0.4642857142857143,30,1.958333
108,33,1.902434,33,0.6333333333333333,33,1.930556
109,30,2.111290,30,0.6875,30,1.944444
110,18,1.617575,18,0.6470588235294117,18,2.097222
111,21,1.229263,21,0.5227272727272727,21,2.023148
112,54,2.526656,54,0.5537190082644627,54,1.791667
113,36,2.081363,36,0.4782608695652174,36,1.912037
114,7,0.369175,7,0,7,2.370370
115,15,1.086323,15,0.31818181818181823,15,2.134259
116,44,2.944226,44,0.5925925925925926,44,1.870370
117,32,1.633214,32,0.4920634920634921,32,1.930556
118,14,1.000811,14,0.5333333333333333,14,2.194444
119,65,7.343978,65,0.1875,65,1.731481
120,22,1.616906,22,0.5416666666666667,22,2.046296
121,43,2.117429,43,0.5168539325842696,43,1.851852
122,33,1.689531,33,0.49230769230769234,33,1.958333
123,33,1.782676,33,0.5540540540540541,33,1.930556
124,37,2.829574,37,0.3833333333333333,37,1.907407
125,34,2.590075,34,0.5,34,1.939815
126,77,8.910103,77,0.5095541401273885,77,1.666667
127,84,10.099130,84,0.4814814814814815,84,1.615741
128,61,4.565845,61,0.6347305389221557,61,1.750000
129,75,9.501074,75,0.43609022556390975,75,1.666667
130,17,1.046253,17,0.43333333333333335,17,2.060185
131,16,0.881883,16,0.4482758620689655,16,2.083333
132,26,1.650344,26,0.6623376623376623,26,1.981481
133,14,0.913216,14,0.6111111111111112,14,2.097222
134,23,1.872057,23,0.6515151515151515,23,2.004630
135,45,3.751473,45,0.6666666666666667,45,1.856481
136,32,1.675387,32,0.4920634920634921,32,1.916667
137,55,5.913382,55,0.56,55,1.805556
138,19,1.335945,19,0.7076923076923076,19,2.055556
139,26,1.545068,26,0.5272727272727273,26,1.990741
140,36,2.230134,36,0.6129032258064516,36,1.902778
141,19,1.591962,19,0.5681818181818181,19,2.055556
142,29,1.998106,29,0.618421052631579,29,1.953704
143,48,2.989435,48,0.5339805825242718,48,1.824074
144,13,1.050380,13,0.5517241379310345,13,2.143519
145,25,1.163256,25,0.537037037037037,25,2.000000
146,53,3.074697,53,0.5619834710743802,53,1.782407
147,19,1.208408,19,0.525,19,2.069444
148,26,1.558660,26,0.5737704918032787,26,2.032407
149,37,1.962879,37,0.513157894736842,37,1.893519
150,35,2.249692,35,0.6111111111111112,35,1.925926
151,17,0.977851,17,0.5,17,2.143519
152,28,1.839122,28,0.5087719298245614,28,1.976852
153,28,1.872057,28,0.5555555555555556,28,1.939815
154,18,1.046770,18,0.47058823529411764,18,2.064815
155,17,1.185362,17,0.5526315789473684,17,2.055556
156,25,1.333108,25,0.47916666666666663,25,2.000000
157,18,0.895877,18,0.48571428571428577,18,2.064815
158,33,1.172056,33,0.4107142857142857,33,1.916667
159,41,2.274319,41,0.5494505494505495,41,1.893519
160,28,1.669891,28,0.6666666666666667,28,1.944444
161,15,1.050380,15,0.48275862068965514,15,2.138889
162,40,2.038303,40,0.5918367346938775,40,1.898148
163,11,0.584642,11,0.44999999999999996,11,2.157407
164,20,1.219102,20,0.5555555555555556,20,2.027778
165,11,1.280549,11,0.6857142857142857,11,2.143519
166,17,1.190825,17,0.6136363636363636,17,2.106481
167,16,1.219102,16,0.6097560975609756,16,2.083333
168,35,2.159412,35,0.5512820512820513,35,1.916667
169,17,0.983916,17,0.5641025641025641,17,2.074074
170,16,1.259255,16,0.5,16,2.046296
171,18,1.405775,18,0.5714285714285714,18,2.064815
172,26,2.141051,26,0.5,26,1.986111
173,37,2.562786,37,0.5432098765432098,37,1.898148
174,12,0.872016,12,0.4782608695652174,12,2.148148
175,32,1.879553,32,0.6363636363636364,32,1.916667
176,22,1.508584,22,0.38888888888888884,22,2.069444
177,26,1.331890,26,0.6231884057971014,26,1.972222
178,14,0.886166,14,0.5,14,2.111111
179,20,0.953205,20,0.33333333333333337,20,2.000000
180,24,1.528882,24,0.5294117647058824,24,2.027778
181,18,1.283080,18,0.6086956521739131,18,2.078704
182,42,2.591537,42,0.5280898876404494,42,1.856481
183,31,2.219195,31,0.5633802816901409,31,1.976852
184,22,1.189007,22,0.44999999999999996,22,2.009259
185,23,1.272499,23,0.41025641025641024,23,2.037037
186,52,3.524618,52,0.6285714285714286,52,1.773148
187,18,1.061138,18,0.5263157894736843,18,2.060185
188,63,4.337443,63,0.6358381502890174,63,1.750000
189,9,0.722803,9,0.5,9,2.254630
190,8,0.747811,8,0.5,8,2.180556
191,16,1.274622,16,0.5555555555555556,16,2.046296
192,14,1.211536,14,0.5882352941176471,14,2.106481
193,2,0.210590,2,0,2,2.726852
194,120,18.872691,120,0.2592592592592593,120,1.444444
195,132,22.164560,132,0.5494880546075085,132,1.388889
196,139,24.422015,139,0.5709876543209876,139,1.356481
197,22,2.305964,22,0.29032258064516125,22,2.050926
198,16,1.834705,16,0.23809523809523814,16,2.120370
199,12,1.533121,12,0.07692307692307687,12,2.282407
200,4,0.320559,4,0.19999999999999996,4,2.291667
201,2,0.346504,2,0.6666666666666667,2,2.342593
202,5,0.551315,5,0.6153846153846154,5,2.615741
203,3,0.333784,3,0,3,2.305556
204,3,0.333784,3,0,3,2.277778
205,10,1.507149,10,0,10,2.347222
206,18,2.712868,18,0,18,2.115741
207,10,1.507149,10,0,10,2.472222
208,9,0.866416,9,0.47058823529411764,9,2.217593
209,3,0.630057,3,0.7692307692307692,3,2.287037
210,3,0.320559,3,0.4,3,2.310185
211,5,0.592909,5,0.4444444444444444,5,2.532407
212,4,0.386355,4,0.19999999999999996,4,2.671296
213,3,0.408138,3,0.5,3,2.268519
214,1,0.210590,1,0.5,1,2.800926
215,1,0.290465,1,0.75,1,2.800926
216,4,0.386355,4,0.19999999999999996,4,2.273148
