Node,OccCentrality,TotalDegree,AvgRelevance,AvgExclusiveRelevance,Deg_L0,Rel_L0,ExRel_L0,Deg_L1,Rel_L1,ExRel_L1,Deg_L2,Rel_L2,ExRel_L2,Deg_L3,Rel_L3,ExRel_L3,Deg_L4,Rel_L4,ExRel_L4,Deg_L5,Rel_L5,ExRel_L5,Deg_L6,Rel_L6,ExRel_L6,Deg_L7,Rel_L7,ExRel_L7,Deg_L8,Rel_L8,ExRel_L8,Deg_L9,Rel_L9,ExRel_L9,Deg_L10,Rel_L10,ExRel_L10,Deg_L11,Rel_L11,ExRel_L11,Deg_L12,Rel_L12,ExRel_L12,Deg_L13,Rel_L13,ExRel_L13,Deg_L14,Rel_L14,ExRel_L14,Deg_L15,Rel_L15,ExRel_L15,Deg_L16,Rel_L16,ExRel_L16,Deg_L17,Rel_L17,ExRel_L17,Deg_L18,Rel_L18,ExRel_L18,Deg_L19,Rel_L19,ExRel_L19,Deg_L20,Rel_L20,ExRel_L20,Deg_L21,Rel_L21,ExRel_L21,Deg_L22,Rel_L22,ExRel_L22,Deg_L23,Rel_L23,ExRel_L23,Deg_L24,Rel_L24,ExRel_L24,Deg_L25,Rel_L25,ExRel_L25,Deg_L26,Rel_L26,ExRel_L26,Deg_L27,Rel_L27,ExRel_L27,Deg_L28,Rel_L28,ExRel_L28,Deg_L29,Rel_L29,ExRel_L29,Deg_L30,Rel_L30,ExRel_L30,Deg_L31,Rel_L31,ExRel_L31,Deg_L32,Rel_L32,ExRel_L32,Deg_L33,Rel_L33,ExRel_L33,Deg_L34,Rel_L34,ExRel_L34,Deg_L35,Rel_L35,ExRel_L35,Deg_L36,Rel_L36,ExRel_L36
77,0.016365,56,0.0309,0.0232,1,0.0204,0.0000,8,0.1633,0.1224,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0204,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0204,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0204,0.0204,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0204,0.0000,1,0.0204,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0204,0.0204,0,0.0000,0.0000,0,0.0000,0.0000,41,0.8367,0.6939,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
37,0.016310,139,0.0376,0.0186,78,0.7800,0.4900,0,0.0000,0.0000,4,0.0400,0.0300,1,0.0100,0.0000,1,0.0100,0.0000,19,0.1900,0.0900,1,0.0100,0.0000,3,0.0300,0.0000,1,0.0100,0.0000,1,0.0100,0.0000,1,0.0100,0.0000,1,0.0100,0.0000,2,0.0200,0.0000,1,0.0100,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0100,0.0000,0,0.0000,0.0000,1,0.0100,0.0000,4,0.0400,0.0100,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0100,0.0100,3,0.0300,0.0200,1,0.0100,0.0000,4,0.0400,0.0000,0,0.0000,0.0000,1,0.0100,0.0000,3,0.0300,0.0100,2,0.0200,0.0000,0,0.0000,0.0000,1,0.0100,0.0000,0,0.0000,0.0000,1,0.0100,0.0100,0,0.0000,0.0000,2,0.0200,0.0200,0,0.0000,0.0000
25,0.015900,81,0.0342,0.0211,4,0.0625,0.0156,0,0.0000,0.0000,6,0.0938,0.0469,1,0.0156,0.0156,1,0.0156,0.0156,0,0.0000,0.0000,1,0.0156,0.0000,0,0.0000,0.0000,1,0.0156,0.0000,0,0.0000,0.0000,3,0.0469,0.0156,0,0.0000,0.0000,3,0.0469,0.0312,1,0.0156,0.0156,0,0.0000,0.0000,5,0.0781,0.0625,0,0.0000,0.0000,1,0.0156,0.0000,1,0.0156,0.0000,1,0.0156,0.0000,1,0.0156,0.0000,0,0.0000,0.0000,1,0.0156,0.0156,1,0.0156,0.0156,0,0.0000,0.0000,5,0.0781,0.0625,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,41,0.6406,0.4375,0,0.0000,0.0000,1,0.0156,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,2,0.0312,0.0312,0,0.0000,0.0000
54,0.015885,76,0.0367,0.0188,4,0.0714,0.0357,0,0.0000,0.0000,5,0.0893,0.0536,1,0.0179,0.0179,1,0.0179,0.0000,0,0.0000,0.0000,1,0.0179,0.0000,0,0.0000,0.0000,1,0.0179,0.0000,1,0.0179,0.0000,2,0.0357,0.0179,2,0.0357,0.0000,2,0.0357,0.0179,1,0.0179,0.0179,0,0.0000,0.0000,10,0.1786,0.0893,1,0.0179,0.0179,1,0.0179,0.0000,0,0.0000,0.0000,1,0.0179,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0179,0.0000,2,0.0357,0.0179,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0179,0.0000,1,0.0179,0.0179,34,0.6071,0.3393,1,0.0179,0.0179,0,0.0000,0.0000,2,0.0357,0.0357,0,0.0000,0.0000
82,0.015855,119,0.0397,0.0174,3,0.0370,0.0000,0,0.0000,0.0000,12,0.1481,0.0123,2,0.0247,0.0000,1,0.0123,0.0000,4,0.0494,0.0370,6,0.0741,0.0370,1,0.0123,0.0000,1,0.0123,0.0000,48,0.5926,0.3086,2,0.0247,0.0247,1,0.0123,0.0000,4,0.0494,0.0247,1,0.0123,0.0000,0,0.0000,0.0000,8,0.0988,0.0494,2,0.0247,0.0123,1,0.0123,0.0000,1,0.0123,0.0000,2,0.0247,0.0123,7,0.0864,0.0370,1,0.0123,0.0000,1,0.0123,0.0123,3,0.0370,0.0370,1,0.0123,0.0123,0,0.0000,0.0000,1,0.0123,0.0123,1,0.0123,0.0000,0,0.0000,0.0000,1,0.0123,0.0000,1,0.0123,0.0000,0,0.0000,0.0000,1,0.0123,0.0000,1,0.0123,0.0123,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
1,0.015780,127,0.0377,0.0172,77,0.8462,0.4835,0,0.0000,0.0000,0,0.0000,0.0000,2,0.0220,0.0110,1,0.0110,0.0000,7,0.0769,0.0330,1,0.0110,0.0000,4,0.0440,0.0000,1,0.0110,0.0000,2,0.0220,0.0000,1,0.0110,0.0000,1,0.0110,0.0000,0,0.0000,0.0000,2,0.0220,0.0110,3,0.0330,0.0110,0,0.0000,0.0000,1,0.0110,0.0000,0,0.0000,0.0000,1,0.0110,0.0000,5,0.0549,0.0000,0,0.0000,0.0000,1,0.0110,0.0000,1,0.0110,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,3,0.0330,0.0110,0,0.0000,0.0000,1,0.0110,0.0000,5,0.0549,0.0549,2,0.0220,0.0110,1,0.0110,0.0000,2,0.0220,0.0110,1,0.0110,0.0000,1,0.0110,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
251,0.015700,124,0.0339,0.0205,0,0.0000,0.0000,8,0.0808,0.0404,67,0.6768,0.4646,20,0.2020,0.0707,0,0.0000,0.0000,2,0.0202,0.0202,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,6,0.0606,0.0404,0,0.0000,0.0000,10,0.1010,0.0808,0,0.0000,0.0000,3,0.0303,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,5,0.0505,0.0202,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0101,0.0101,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0101,0.0000,1,0.0101,0.0101,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
39,0.015680,137,0.0390,0.0176,4,0.0421,0.0211,19,0.2000,0.0842,15,0.1579,0.0842,1,0.0105,0.0000,1,0.0105,0.0105,5,0.0526,0.0211,4,0.0421,0.0000,1,0.0105,0.0105,1,0.0105,0.0000,2,0.0211,0.0105,3,0.0316,0.0000,2,0.0211,0.0000,1,0.0105,0.0105,1,0.0105,0.0000,0,0.0000,0.0000,6,0.0632,0.0526,2,0.0211,0.0000,1,0.0105,0.0000,1,0.0105,0.0105,1,0.0105,0.0105,29,0.3053,0.0947,15,0.1579,0.1368,3,0.0316,0.0105,3,0.0316,0.0211,0,0.0000,0.0000,4,0.0421,0.0105,3,0.0316,0.0211,1,0.0105,0.0000,0,0.0000,0.0000,1,0.0105,0.0000,1,0.0105,0.0000,4,0.0421,0.0105,0,0.0000,0.0000,1,0.0105,0.0105,0,0.0000,0.0000,1,0.0105,0.0105,0,0.0000,0.0000
41,0.015145,75,0.0369,0.0187,4,0.0727,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0182,0.0000,1,0.0182,0.0182,0,0.0000,0.0000,1,0.0182,0.0000,1,0.0182,0.0000,1,0.0182,0.0000,1,0.0182,0.0000,1,0.0182,0.0000,0,0.0000,0.0000,1,0.0182,0.0182,1,0.0182,0.0000,0,0.0000,0.0000,9,0.1636,0.1091,1,0.0182,0.0182,1,0.0182,0.0000,1,0.0182,0.0000,41,0.7455,0.4364,1,0.0182,0.0000,0,0.0000,0.0000,1,0.0182,0.0182,0,0.0000,0.0000,0,0.0000,0.0000,2,0.0364,0.0364,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0182,0.0000,1,0.0182,0.0182,1,0.0182,0.0000,1,0.0182,0.0000,0,0.0000,0.0000,1,0.0182,0.0182,0,0.0000,0.0000
26,0.014205,89,0.0382,0.0176,2,0.0317,0.0000,0,0.0000,0.0000,6,0.0952,0.0317,1,0.0159,0.0000,2,0.0317,0.0317,2,0.0317,0.0000,1,0.0159,0.0000,42,0.6667,0.3651,1,0.0159,0.0000,0,0.0000,0.0000,2,0.0317,0.0159,1,0.0159,0.0159,14,0.2222,0.0635,1,0.0159,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0159,0.0159,1,0.0159,0.0000,1,0.0159,0.0000,1,0.0159,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0159,0.0159,1,0.0159,0.0159,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0159,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0159,0.0000,2,0.0317,0.0159,1,0.0159,0.0159,1,0.0159,0.0159,2,0.0317,0.0317,0,0.0000,0.0000,0,0.0000,0.0000
214,0.014160,71,0.0376,0.0191,4,0.0784,0.0196,0,0.0000,0.0000,10,0.1961,0.0588,1,0.0196,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,2,0.0392,0.0000,0,0.0000,0.0000,1,0.0196,0.0000,0,0.0000,0.0000,1,0.0196,0.0000,1,0.0196,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,40,0.7843,0.5098,1,0.0196,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0196,0.0000,0,0.0000,0.0000,1,0.0196,0.0196,1,0.0196,0.0196,0,0.0000,0.0000,1,0.0196,0.0196,1,0.0196,0.0000,1,0.0196,0.0196,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,2,0.0392,0.0196,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,2,0.0392,0.0196,0,0.0000,0.0000
30,0.014145,91,0.0417,0.0142,4,0.0678,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0169,0.0000,1,0.0169,0.0169,1,0.0169,0.0169,1,0.0169,0.0000,26,0.4407,0.0339,1,0.0169,0.0000,0,0.0000,0.0000,1,0.0169,0.0000,0,0.0000,0.0000,41,0.6949,0.3051,1,0.0169,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0169,0.0169,1,0.0169,0.0000,1,0.0169,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,2,0.0339,0.0169,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0169,0.0169,0,0.0000,0.0000,1,0.0169,0.0000,6,0.1017,0.1017,0,0.0000,0.0000,0,0.0000,0.0000
13,0.014010,103,0.0398,0.0166,3,0.0429,0.0000,0,0.0000,0.0000,6,0.0857,0.0571,1,0.0143,0.0000,1,0.0143,0.0000,0,0.0000,0.0000,1,0.0143,0.0000,1,0.0143,0.0143,1,0.0143,0.0000,2,0.0286,0.0000,2,0.0286,0.0286,1,0.0143,0.0000,0,0.0000,0.0000,1,0.0143,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0143,0.0000,0,0.0000,0.0000,2,0.0286,0.0286,1,0.0143,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0143,0.0143,1,0.0143,0.0143,3,0.0429,0.0286,1,0.0143,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,30,0.4286,0.0714,1,0.0143,0.0143,3,0.0429,0.0286,1,0.0143,0.0143,0,0.0000,0.0000,0,0.0000,0.0000,3,0.0429,0.0143,35,0.5000,0.2857
11,0.013545,118,0.0285,0.0256,0,0.0000,0.0000,85,0.7589,0.7054,22,0.1964,0.1518,2,0.0179,0.0089,1,0.0089,0.0089,3,0.0268,0.0268,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,3,0.0268,0.0268,2,0.0179,0.0179,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
165,0.013245,115,0.0409,0.0156,42,0.5526,0.2105,0,0.0000,0.0000,2,0.0263,0.0132,1,0.0132,0.0000,1,0.0132,0.0132,38,0.5000,0.2237,1,0.0132,0.0000,3,0.0395,0.0000,1,0.0132,0.0132,0,0.0000,0.0000,1,0.0132,0.0000,1,0.0132,0.0000,1,0.0132,0.0000,3,0.0395,0.0263,3,0.0395,0.0132,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0132,0.0000,1,0.0132,0.0000,0,0.0000,0.0000,1,0.0132,0.0000,1,0.0132,0.0132,0,0.0000,0.0000,2,0.0263,0.0132,4,0.0526,0.0132,0,0.0000,0.0000,0,0.0000,0.0000,3,0.0395,0.0132,2,0.0263,0.0000,1,0.0132,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0132,0.0132,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
56,0.012580,106,0.0358,0.0203,2,0.0250,0.0000,24,0.3000,0.1625,10,0.1250,0.0750,0,0.0000,0.0000,0,0.0000,0.0000,26,0.3250,0.1750,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0125,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,2,0.0250,0.0250,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0125,0.0125,0,0.0000,0.0000,0,0.0000,0.0000,5,0.0625,0.0250,3,0.0375,0.0000,1,0.0125,0.0125,3,0.0375,0.0000,0,0.0000,0.0000,6,0.0750,0.0500,5,0.0625,0.0250,17,0.2125,0.1875,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
