Node,AvgShortestPath
220,2.533654
221,2.814904
222,2.983173
223,2.502404
224,2.298077
225,
226,2.413462
227,2.579327
228,2.747596
229,3.463942
230,3.555288
231,2.884615
232,2.824519
233,2.516827
234,2.687500
235,
236,2.908654
237,
238,2.805288
239,2.437500
240,2.533654
241,2.995192
242,2.829327
243,2.305288
244,2.783654
245,3.004808
246,3.093750
247,3.043269
248,4.040865
249,2.560096
250,2.519231
251,1.949519
252,2.963942
253,2.548077
254,2.649038
255,2.322115
256,3.555288
257,2.973558
258,3.146635
259,3.093750
260,2.449519
261,2.605769
262,3.021635
263,2.709135
264,2.514423
265,3.439904
266,2.408654
267,2.704327
268,2.995192
269,2.555288
270,2.699519
271,2.884615
272,3.002404
273,2.812500
274,2.543269
275,2.435096
276,2.870192
277,2.384615
278,3.093750
279,2.656250
280,2.812500
281,2.591346
282,2.480769
283,2.447115
284,3.884615
285,2.586538
286,2.596154
287,2.742788
288,2.569712
289,2.899038
290,2.992788
291,3.002404
292,2.564904
293,2.709135
294,3.093750
295,
296,
297,2.735577
298,
299,2.757212
300,3.093750
301,2.848558
302,2.552885
303,2.877404
304,2.418269
305,2.564904
306,2.641827
307,2.461538
308,2.680288
309,2.605769
310,2.980769
311,2.435096
312,2.812500
313,2.531250
314,2.951923
315,3.057692
316,
317,2.596154
318,2.668269
319,2.709135
320,2.908654
321,3.100962
322,
323,3.021635
324,2.968750
325,2.805288
326,3.783654
327,2.728365
328,2.807692
329,
330,3.067308
331,3.100962
332,2.639423
333,2.625000
334,3.045673
335,2.899038
336,4.867788
337,2.884615
338,2.927885
339,
340,2.757212
341,3.139423
342,3.100962
343,2.552885
344,2.675481
345,2.596154
346,2.927885
347,2.781250
348,2.682692
349,2.754808
350,2.473558
351,2.639423
352,2.680288
353,3.100962
354,2.653846
355,2.923077
356,3.899038
357,2.692308
358,2.677885
359,2.509615
360,2.973558
361,2.925481
362,
363,2.728365
364,3.343750
365,3.435096
366,3.781250
367,2.923077
368,2.793269
369,2.812500
370,3.093750
371,2.891827
372,4.646635
373,2.923077
374,2.884615
375,2.711538
376,3.062500
377,2.846154
378,3.713942
379,2.963942
380,2.716346
381,3.122596
382,2.759615
383,2.711538
384,
385,2.596154
386,2.675481
387,2.812500
388,2.995192
389,
390,2.971154
391,3.146635
392,3.100962
393,3.045673
394,3.216346
395,3.002404
396,3.088942
397,3.591346
398,3.468750
399,2.819712
400,3.276442
401,2.781250
402,2.877404
403,3.100962
404,3.288462
405,
406,3.105769
407,3.252404
408,3.199519
409,3.490385
410,2.877404
411,3.471154
412,2.963942
413,3.430288
414,
415,3.225962
416,
417,3.908654
418,
419,
420,3.161058
421,3.209135
422,2.939904
423,
424,
425,3.100962
426,3.326923
427,3.100962
428,2.896635
429,3.033654
430,2.793269
431,3.307692
432,2.764423
433,2.915865
434,3.100962
435,3.192308
436,2.819712
437,3.420673
438,3.084135
439,2.757212
440,2.884615
441,3.122596
442,3.103365
443,3.100962
444,4.189904
445,
446,3.103365
447,3.411058
448,3.033654
449,2.961538
