Node,DegreeWeighted,Neighborhood,ConnectiveRedundancyWeighted,AvgShortestPathWeighted
184,3,3,0.000000,2.435296
185,2,2,0.000000,2.340745
186,26,22,0.153846,1.775240
187,4,3,0.250000,1.849159
188,4,4,0.000000,2.784655
189,5,4,0.200000,1.850160
190,1,1,0.000000,2.458534
191,8,8,0.000000,2.126002
192,1,1,0.000000,2.458534
193,13,13,0.000000,2.068510
194,2,2,0.000000,2.413862
195,20,19,0.050000,1.810136
196,4,4,0.000000,2.415465
197,2,2,0.000000,2.794071
198,55,45,0.181818,1.458333
199,9,6,0.333333,1.819311
200,21,17,0.190476,1.812700
201,17,14,0.176471,1.831330
202,15,15,0.000000,2.125561
203,7,7,0.000000,2.169071
204,62,50,0.193548,1.439824
205,12,12,0.000000,2.134215
206,21,21,0.000000,2.026763
207,14,13,0.071429,1.782772
208,44,38,0.136364,1.622196
209,33,27,0.181818,1.717748
210,47,40,0.148936,1.577324
211,1,1,0.000000,2.458534
212,27,24,0.111111,1.778846
213,2,2,0.000000,3.769231
214,71,51,0.281690,1.419671
215,17,16,0.058824,2.005809
216,7,6,0.142857,2.305889
217,4,4,0.000000,2.410056
218,11,9,0.181818,1.726162
219,17,17,0.000000,2.032452
220,22,19,0.136364,1.869391
221,6,5,0.166667,2.040465
222,5,5,0.000000,2.334936
223,19,19,0.000000,2.083974
224,33,26,0.212121,1.572596
225,0,0,0.000000,
226,33,32,0.030303,1.865385
227,5,5,0.000000,2.102764
228,4,4,0.000000,2.320713
229,7,7,0.000000,2.771635
230,4,4,0.000000,2.803085
231,3,3,0.000000,2.412059
232,1,1,0.000000,2.218550
233,22,21,0.045455,1.901042
234,6,5,0.166667,1.852564
235,0,0,0.000000,
236,2,2,0.000000,2.295032
237,0,0,0.000000,
238,6,6,0.000000,2.258213
239,28,28,0.000000,2.068429
240,11,11,0.000000,2.074920
241,4,3,0.250000,1.851362
242,2,2,0.000000,2.301242
243,22,18,0.181818,1.653446
244,4,3,0.250000,1.875401
245,2,2,0.000000,2.348958
246,1,1,0.000000,2.471354
247,3,3,0.000000,2.365785
248,1,1,0.000000,3.363381
249,10,10,0.000000,2.135016
250,16,16,0.000000,2.130208
251,124,99,0.201613,1.465745
252,1,1,0.000000,2.458534
253,6,5,0.166667,1.928085
254,16,16,0.000000,2.189984
255,40,39,0.025000,1.860577
256,4,4,0.000000,2.803085
257,2,2,0.000000,2.334135
258,1,1,0.000000,2.578325
259,1,1,0.000000,2.471354
260,26,26,0.000000,2.129207
261,11,9,0.181818,1.724840
262,2,2,0.000000,2.606370
263,4,4,0.000000,2.185096
264,18,16,0.111111,1.719030
265,1,1,0.000000,2.772837
266,15,15,0.000000,2.015024
267,10,10,0.000000,2.292468
268,3,3,0.000000,2.345753
269,9,9,0.000000,2.109135
270,6,4,0.333333,1.836338
271,3,3,0.000000,2.412059
272,4,3,0.250000,1.967147
273,2,2,0.000000,2.240665
274,8,6,0.250000,1.734255
275,16,15,0.062500,1.770833
276,3,3,0.000000,2.499199
277,21,20,0.047619,1.999199
278,1,1,0.000000,2.471354
279,6,6,0.000000,2.231971
280,2,2,0.000000,2.240665
281,9,9,0.000000,2.182692
282,16,16,0.000000,2.057011
283,16,15,0.062500,1.792668
284,7,7,0.000000,2.781250
285,10,10,0.000000,2.117668
286,5,5,0.000000,2.114543
287,2,2,0.000000,2.343349
288,19,15,0.210526,1.741506
289,2,2,0.000000,2.286699
290,4,4,0.000000,2.343349
291,3,3,0.000000,2.346554
292,14,14,0.000000,2.106370
293,10,10,0.000000,2.216186
294,1,1,0.000000,2.471354
295,0,0,0.000000,
296,0,0,0.000000,
297,8,7,0.125000,1.806290
298,0,0,0.000000,
299,4,4,0.000000,2.244792
300,1,1,0.000000,2.471354
301,4,4,0.000000,2.293670
302,9,8,0.111111,1.779808
303,3,3,0.000000,2.381811
304,37,31,0.162162,1.614583
305,11,10,0.090909,2.069912
306,5,5,0.000000,2.170272
307,17,17,0.000000,2.059896
308,7,7,0.000000,2.153646
309,8,8,0.000000,2.221635
310,5,4,0.200000,1.851362
311,19,17,0.105263,1.882412
312,3,2,0.333333,1.783413
313,12,12,0.000000,2.145513
314,1,1,0.000000,2.376202
315,1,1,0.000000,2.591106
316,0,0,0.000000,
317,15,15,0.000000,2.120633
318,6,6,0.000000,2.209054
319,6,6,0.000000,2.167107
320,2,2,0.000000,2.295032
321,1,1,0.000000,2.374599
322,0,0,0.000000,
323,2,2,0.000000,2.606370
324,2,2,0.000000,2.387821
325,4,4,0.000000,2.260016
326,1,1,0.000000,2.799079
327,6,6,0.000000,2.187099
328,4,3,0.250000,1.807893
329,0,0,0.000000,
330,1,1,0.000000,2.569311
331,1,1,0.000000,2.374599
332,5,5,0.000000,2.348157
333,6,6,0.000000,2.333333
334,3,3,0.000000,2.518429
335,2,2,0.000000,2.297676
336,3,3,0.000000,3.764423
337,1,1,0.000000,2.308494
338,1,1,0.000000,2.282212
339,0,0,0.000000,
340,3,3,0.000000,2.214663
341,1,1,0.000000,2.337861
342,1,1,0.000000,2.374599
343,13,13,0.000000,2.088542
344,14,14,0.000000,2.318910
345,6,6,0.000000,2.185096
346,4,4,0.000000,2.606971
347,7,7,0.000000,2.361699
348,4,4,0.000000,2.307292
349,3,3,0.000000,2.218149
350,24,24,0.000000,2.045673
351,6,5,0.166667,1.858974
352,9,8,0.111111,2.076122
353,1,1,0.000000,2.374599
354,6,6,0.000000,2.249199
355,6,6,0.000000,2.284335
356,2,2,0.000000,2.794071
357,8,7,0.125000,1.943910
358,12,11,0.083333,1.939904
359,21,21,0.000000,2.074519
360,1,1,0.000000,2.391026
361,4,4,0.000000,2.482772
362,0,0,0.000000,
363,6,6,0.000000,2.304487
364,1,1,0.000000,2.619792
365,1,1,0.000000,3.066026
366,2,2,0.000000,2.796675
367,2,2,0.000000,2.446514
368,7,7,0.000000,2.345753
369,2,2,0.000000,2.240665
370,1,1,0.000000,2.471354
371,2,2,0.000000,2.447316
372,4,4,0.000000,3.764423
373,2,2,0.000000,2.446514
374,1,1,0.000000,2.308494
375,5,5,0.000000,2.299119
376,1,1,0.000000,2.518429
377,2,2,0.000000,2.262821
378,3,3,0.000000,2.823718
379,1,1,0.000000,2.458534
380,6,6,0.000000,2.256410
381,1,1,0.000000,2.417268
382,6,6,0.000000,2.232772
383,11,10,0.090909,2.021635
384,0,0,0.000000,
385,11,11,0.000000,2.105769
386,4,4,0.000000,2.184295
387,5,5,0.000000,2.258814
388,4,4,0.000000,2.305008
389,0,0,0.000000,
390,2,2,0.000000,2.587540
391,2,2,0.000000,2.586739
392,1,1,0.000000,2.374599
393,2,2,0.000000,2.467548
394,1,1,0.000000,2.548478
395,3,3,0.000000,2.432292
396,3,3,0.000000,2.441506
397,1,1,0.000000,3.112340
398,1,1,0.000000,3.080929
399,3,3,0.000000,2.361458
400,2,2,0.000000,2.965224
401,4,4,0.000000,2.326522
402,3,3,0.000000,2.284054
403,1,1,0.000000,2.374599
404,1,1,0.000000,2.769832
405,0,0,0.000000,
406,1,1,0.000000,2.432332
407,2,2,0.000000,2.729167
408,1,1,0.000000,2.606771
409,2,2,0.000000,2.820513
410,2,2,0.000000,2.304087
411,1,1,0.000000,3.043269
412,2,2,0.000000,2.415224
413,2,2,0.000000,3.025641
414,0,0,0.000000,
415,1,1,0.000000,2.685697
416,0,0,0.000000,
417,1,1,0.000000,2.803686
418,0,0,0.000000,
419,0,0,0.000000,
420,3,3,0.000000,2.597837
421,2,2,0.000000,2.711538
422,2,2,0.000000,2.433974
423,0,0,0.000000,
424,0,0,0.000000,
425,1,1,0.000000,2.374599
426,2,2,0.000000,2.582332
427,1,1,0.000000,2.374599
428,2,2,0.000000,2.273438
429,1,1,0.000000,2.613181
430,2,2,0.000000,2.337340
431,1,1,0.000000,2.537260
432,3,3,0.000000,2.185697
433,4,4,0.000000,2.450321
434,1,1,0.000000,2.374599
435,3,3,0.000000,2.672476
436,2,2,0.000000,2.216146
437,1,1,0.000000,2.807732
438,1,1,0.000000,2.484575
439,4,4,0.000000,2.259615
440,1,1,0.000000,2.308494
441,1,1,0.000000,2.417268
442,2,2,0.000000,2.429928
443,1,1,0.000000,2.374599
444,1,1,0.000000,3.670072
445,0,0,0.000000,
446,2,2,0.000000,2.429928
447,1,1,0.000000,2.862981
448,1,1,0.000000,2.613181
449,1,1,0.000000,2.427684
