Node,OccCentrality,Deg_L0,Rel_L0,ExRel_L0,Deg_L1,Rel_L1,ExRel_L1,Deg_L2,Rel_L2,ExRel_L2,Deg_L3,Rel_L3,ExRel_L3,Deg_L4,Rel_L4,ExRel_L4,Deg_L5,Rel_L5,ExRel_L5,Deg_L6,Rel_L6,ExRel_L6,Deg_L7,Rel_L7,ExRel_L7,Deg_L8,Rel_L8,ExRel_L8,Deg_L9,Rel_L9,ExRel_L9,Deg_L10,Rel_L10,ExRel_L10,Deg_L11,Rel_L11,ExRel_L11,Deg_L12,Rel_L12,ExRel_L12,Deg_L13,Rel_L13,ExRel_L13,Deg_L14,Rel_L14,ExRel_L14,Deg_L15,Rel_L15,ExRel_L15,Deg_L16,Rel_L16,ExRel_L16,Deg_L17,Rel_L17,ExRel_L17,Deg_L18,Rel_L18,ExRel_L18,Deg_L19,Rel_L19,ExRel_L19,Deg_L20,Rel_L20,ExRel_L20,Deg_L21,Rel_L21,ExRel_L21,Deg_L22,Rel_L22,ExRel_L22,Deg_L23,Rel_L23,ExRel_L23,Deg_L24,Rel_L24,ExRel_L24,Deg_L25,Rel_L25,ExRel_L25,Deg_L26,Rel_L26,ExRel_L26,Deg_L27,Rel_L27,ExRel_L27,Deg_L28,Rel_L28,ExRel_L28,Deg_L29,Rel_L29,ExRel_L29,Deg_L30,Rel_L30,ExRel_L30,Deg_L31,Rel_L31,ExRel_L31,Deg_L32,Rel_L32,ExRel_L32,Deg_L33,Rel_L33,ExRel_L33,Deg_L34,Rel_L34,ExRel_L34,Deg_L35,Rel_L35,ExRel_L35,Deg_L36,Rel_L36,ExRel_L36
10,0.007435,0,0.000000,0.000000,44,0.721311,0.688525,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.016393,0.016393,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,9,0.147541,0.131148,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.016393,0.016393,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,8,0.131148,0.114754,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000
11,0.013545,0,0.000000,0.000000,85,0.758929,0.705357,22,0.196429,0.151786,2,0.017857,0.008929,1,0.008929,0.008929,3,0.026786,0.026786,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,3,0.026786,0.026786,2,0.017857,0.017857,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000
12,0.000910,1,0.200000,0.200000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,3,0.600000,0.600000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.200000,0.200000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000
13,0.014010,3,0.042857,0.000000,0,0.000000,0.000000,6,0.085714,0.057143,1,0.014286,0.000000,1,0.014286,0.000000,0,0.000000,0.000000,1,0.014286,0.000000,1,0.014286,0.014286,1,0.014286,0.000000,2,0.028571,0.000000,2,0.028571,0.028571,1,0.014286,0.000000,0,0.000000,0.000000,1,0.014286,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.014286,0.000000,0,0.000000,0.000000,2,0.028571,0.028571,1,0.014286,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.014286,0.014286,1,0.014286,0.014286,3,0.042857,0.028571,1,0.014286,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,30,0.428571,0.071429,1,0.014286,0.014286,3,0.042857,0.028571,1,0.014286,0.014286,0,0.000000,0.000000,0,0.000000,0.000000,3,0.042857,0.014286,35,0.500000,0.285714
14,0.028570,3,0.029126,0.000000,0,0.000000,0.000000,15,0.145631,0.038835,2,0.019417,0.000000,1,0.009709,0.000000,1,0.009709,0.000000,2,0.019417,0.009709,3,0.029126,0.000000,62,0.601942,0.291262,4,0.038835,0.019417,1,0.009709,0.000000,1,0.009709,0.000000,2,0.019417,0.000000,1,0.009709,0.000000,2,0.019417,0.019417,0,0.000000,0.000000,2,0.019417,0.009709,0,0.000000,0.000000,1,0.009709,0.000000,1,0.009709,0.000000,5,0.048544,0.000000,0,0.000000,0.000000,2,0.019417,0.019417,0,0.000000,0.000000,1,0.009709,0.000000,10,0.097087,0.019417,29,0.281553,0.165049,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.009709,0.000000,1,0.009709,0.009709,1,0.009709,0.000000,1,0.009709,0.009709,0,0.000000,0.000000,0,0.000000,0.000000,1,0.009709,0.000000
15,0.008750,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,4,0.111111,0.055556,1,0.027778,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.027778,0.027778,1,0.027778,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,2,0.055556,0.000000,12,0.333333,0.166667,0,0.000000,0.000000,1,0.027778,0.027778,0,0.000000,0.000000,26,0.722222,0.472222,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000
16,0.004530,3,0.088235,0.029412,11,0.323529,0.294118,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.029412,0.000000,1,0.029412,0.000000,1,0.029412,0.029412,1,0.029412,0.029412,0,0.000000,0.000000,1,0.029412,0.029412,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,18,0.529412,0.411765,0,0.000000,0.000000,0,0.000000,0.000000,1,0.029412,0.029412,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.029412,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000
17,0.005465,2,0.043478,0.021739,15,0.326087,0.304348,13,0.282609,0.260870,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.021739,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,2,0.043478,0.043478,0,0.000000,0.000000,8,0.173913,0.173913,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.021739,0.000000,1,0.021739,0.021739,0,0.000000,0.000000,4,0.086957,0.065217,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.021739,0.021739,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.021739,0.021739,0,0.000000,0.000000
18,0.009585,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,35,1.000000,1.000000,0,0.000000,0.000000
19,0.004335,2,0.050000,0.050000,19,0.475000,0.375000,1,0.025000,0.000000,1,0.025000,0.000000,1,0.025000,0.025000,0,0.000000,0.000000,2,0.050000,0.050000,1,0.025000,0.025000,1,0.025000,0.025000,6,0.150000,0.050000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,2,0.050000,0.050000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.025000,0.025000,1,0.025000,0.025000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,2,0.050000,0.025000,0,0.000000,0.000000,1,0.025000,0.025000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.025000,0.025000,1,0.025000,0.025000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,3,0.075000,0.050000,0,0.000000,0.000000
20,0.002495,0,0.000000,0.000000,0,0.000000,0.000000,15,0.833333,0.666667,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,5,0.277778,0.111111,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.055556,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.055556,0.000000,0,0.000000,0.000000
21,0.019735,3,0.037975,0.037975,0,0.000000,0.000000,4,0.050633,0.025316,1,0.012658,0.000000,3,0.037975,0.037975,0,0.000000,0.000000,0,0.000000,0.000000,3,0.037975,0.012658,1,0.012658,0.012658,2,0.025316,0.000000,2,0.025316,0.025316,1,0.012658,0.000000,0,0.000000,0.000000,1,0.012658,0.000000,2,0.025316,0.012658,0,0.000000,0.000000,2,0.025316,0.000000,43,0.544304,0.303797,1,0.012658,0.012658,1,0.012658,0.000000,1,0.012658,0.000000,2,0.025316,0.025316,1,0.012658,0.012658,0,0.000000,0.000000,3,0.037975,0.037975,10,0.126582,0.088608,1,0.012658,0.012658,0,0.000000,0.000000,0,0.000000,0.000000,1,0.012658,0.000000,1,0.012658,0.000000,10,0.126582,0.063291,1,0.012658,0.000000,1,0.012658,0.012658,0,0.000000,0.000000,2,0.025316,0.025316,0,0.000000,0.000000
22,0.001260,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,3,0.500000,0.333333,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,4,0.666667,0.166667,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,3,0.500000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000
23,0.023685,2,0.024390,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.012195,0.000000,82,1.000000,0.829268,0,0.000000,0.000000,1,0.012195,0.000000,0,0.000000,0.000000,1,0.012195,0.000000,1,0.012195,0.000000,1,0.012195,0.000000,1,0.012195,0.000000,0,0.000000,0.000000,1,0.012195,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.012195,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.012195,0.000000,1,0.012195,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.012195,0.000000,1,0.012195,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.012195,0.000000
24,0.000965,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,2,0.400000,0.400000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.200000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,3,0.600000,0.400000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000
25,0.015900,4,0.062500,0.015625,0,0.000000,0.000000,6,0.093750,0.046875,1,0.015625,0.015625,1,0.015625,0.015625,0,0.000000,0.000000,1,0.015625,0.000000,0,0.000000,0.000000,1,0.015625,0.000000,0,0.000000,0.000000,3,0.046875,0.015625,0,0.000000,0.000000,3,0.046875,0.031250,1,0.015625,0.015625,0,0.000000,0.000000,5,0.078125,0.062500,0,0.000000,0.000000,1,0.015625,0.000000,1,0.015625,0.000000,1,0.015625,0.000000,1,0.015625,0.000000,0,0.000000,0.000000,1,0.015625,0.015625,1,0.015625,0.015625,0,0.000000,0.000000,5,0.078125,0.062500,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,41,0.640625,0.437500,0,0.000000,0.000000,1,0.015625,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,2,0.031250,0.031250,0,0.000000,0.000000
26,0.014205,2,0.031746,0.000000,0,0.000000,0.000000,6,0.095238,0.031746,1,0.015873,0.000000,2,0.031746,0.031746,2,0.031746,0.000000,1,0.015873,0.000000,42,0.666667,0.365079,1,0.015873,0.000000,0,0.000000,0.000000,2,0.031746,0.015873,1,0.015873,0.015873,14,0.222222,0.063492,1,0.015873,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.015873,0.015873,1,0.015873,0.000000,1,0.015873,0.000000,1,0.015873,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.015873,0.015873,1,0.015873,0.015873,0,0.000000,0.000000,0,0.000000,0.000000,1,0.015873,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.015873,0.000000,2,0.031746,0.015873,1,0.015873,0.015873,1,0.015873,0.015873,2,0.031746,0.031746,0,0.000000,0.000000,0,0.000000,0.000000
