Node,Degree,DegreeDeviation,Neighborhood,ConnectiveRedundancy,XNeighborhood,AvgShortestPath
61,56,3.307472,56,0.211268,56,2.112981
62,10,0.642993,10,0.000000,10,2.603365
63,80,10.580106,80,0.344262,80,1.937500
64,25,2.010564,25,0.242424,25,2.314904
65,65,7.660434,65,0.301075,65,1.975962
66,50,6.024299,50,0.230769,50,2.052885
67,26,1.587938,26,0.037037,26,2.290865
68,6,0.493937,6,0.000000,6,2.826923
69,6,0.368600,6,0.000000,6,2.516827
70,53,7.010167,53,0.353659,53,2.036058
71,23,2.080203,23,0.080000,23,2.471154
72,7,0.729229,7,0.000000,7,2.697115
73,3,0.387911,3,0.250000,3,2.884615
74,17,1.499939,17,0.105263,17,2.425481
75,42,4.576754,42,0.023256,42,2.298077
76,48,6.506388,48,0.304348,48,2.108173
77,49,6.712721,49,0.125000,49,2.069712
78,14,0.787039,14,0.066667,14,2.425481
79,37,3.574727,37,0.195652,37,2.293269
80,2,0.226124,2,0.000000,2,2.887019
81,12,0.931551,12,0.000000,12,2.564904
82,81,7.877903,81,0.319328,81,1.939904
83,12,1.041155,12,0.000000,12,2.471154
84,16,1.406964,16,0.157895,16,2.502404
85,2,0.226124,2,0.000000,2,2.896635
86,5,0.678373,5,0.166667,5,2.711538
87,8,0.588420,8,0.111111,8,2.651442
88,7,0.391659,7,0.000000,7,2.526442
89,1,0.162162,1,0.000000,1,3.100962
90,3,0.387911,3,0.250000,3,2.887019
91,4,0.310517,4,0.000000,4,2.737981
92,5,0.493937,5,0.166667,5,2.692308
93,6,0.740166,6,0.250000,6,2.812500
94,19,1.147297,19,0.173913,19,2.454327
95,51,4.275399,51,0.260870,51,2.110577
96,13,1.925948,13,0.277778,13,2.911058
97,16,2.125706,16,0.200000,16,2.786058
98,10,0.599488,10,0.000000,10,2.490385
99,5,0.413434,5,0.000000,5,2.788462
100,53,4.140872,53,0.131148,53,2.060096
101,1,0.162162,1,0.000000,1,3.100962
102,2,0.226124,2,0.000000,2,2.920673
103,1,0.162162,1,0.000000,1,3.100962
104,8,0.990090,8,0.000000,8,2.593750
105,0,0.000000,0,0.000000,0,
106,17,1.307393,17,0.105263,17,2.497596
107,90,10.670714,90,0.181818,90,2.019231
108,6,0.678373,6,0.000000,6,2.665865
109,1,0.226124,1,0.500000,1,3.100962
110,2,0.358554,2,0.333333,2,3.062500
111,23,1.231436,23,0.080000,23,2.276442
112,0,0.000000,0,0.000000,0,
113,1,0.162162,1,0.000000,1,2.961538
114,1,0.162162,1,0.000000,1,3.100962
115,5,0.474322,5,0.000000,5,2.596154
116,4,0.508510,4,0.000000,4,2.826923
117,30,4.247975,30,0.000000,30,2.528846
118,7,0.833029,7,0.000000,7,2.692308
119,1,0.226124,1,0.500000,1,3.100962
120,1,0.162162,1,0.000000,1,2.824519
121,50,4.120713,50,0.242424,50,2.144231
122,2,0.226124,2,0.000000,2,2.841346
123,5,0.650897,5,0.285714,5,2.870192
124,1,0.162162,1,0.000000,1,2.935096
125,2,0.226124,2,0.000000,2,2.805288
126,0,0.000000,0,0.000000,0,
127,4,0.387911,4,0.000000,4,2.759615
128,0,0.000000,0,0.000000,0,
129,1,0.162162,1,0.000000,1,3.100962
130,6,0.678373,6,0.000000,6,2.574519
131,0,0.000000,0,0.000000,0,
132,2,0.272960,2,0.333333,2,3.086538
133,3,0.486486,3,0.000000,3,3.778846
134,8,1.030577,8,0.200000,8,2.653846
135,0,0.000000,0,0.000000,0,
136,2,0.272960,2,0.333333,2,3.033654
137,0,0.000000,0,0.000000,0,
138,42,6.032176,42,0.000000,42,2.389423
139,4,0.387911,4,0.000000,4,2.889423
140,0,0.000000,0,0.000000,0,
141,0,0.000000,0,0.000000,0,
142,9,1.328455,9,0.100000,9,2.627404
143,2,0.226124,2,0.000000,2,2.987981
144,2,0.226124,2,0.000000,2,2.887019
145,10,1.463957,10,0.000000,10,2.550481
146,32,3.187356,32,0.179487,32,2.322115
147,3,0.358554,3,0.000000,3,2.980769
148,5,0.810811,5,0.000000,5,3.468750
149,2,0.226124,2,0.000000,2,2.887019
150,1,0.162162,1,0.000000,1,3.105769
151,6,0.972973,6,0.000000,6,3.663462
152,5,0.810811,5,0.000000,5,4.639423
153,4,0.577139,4,0.200000,4,2.754808
154,12,0.992301,12,0.076923,12,2.552885
155,5,0.810811,5,0.000000,5,3.468750
156,2,0.324324,2,0.000000,2,2.817308
157,2,0.324324,2,0.000000,2,3.906250
158,4,0.577139,4,0.200000,4,2.872596
159,5,0.474322,5,0.000000,5,2.701923
160,1,0.162162,1,0.000000,1,2.824519
161,1,0.162162,1,0.000000,1,2.963942
162,10,1.177461,10,0.000000,10,2.545673
163,16,0.681596,16,0.058824,16,2.278846
164,8,0.674052,8,0.111111,8,2.536058
165,76,8.895136,76,0.339130,76,1.906250
166,4,0.648649,4,0.000000,4,3.745192
167,3,0.486486,3,0.000000,3,3.778846
168,31,2.258658,31,0.088235,31,2.228365
169,1,0.162162,1,0.000000,1,2.961538
170,6,0.691174,6,0.142857,6,2.733173
171,2,0.226124,2,0.000000,2,2.829327
172,35,3.155109,35,0.166667,35,2.281250
173,2,0.324324,2,0.000000,2,2.923077
174,10,0.871595,10,0.166667,10,2.473558
175,2,0.324324,2,0.000000,2,3.091346
176,4,0.413434,4,0.200000,4,2.906250
177,1,0.162162,1,0.000000,1,3.105769
178,0,0.000000,0,0.000000,0,
179,0,0.000000,0,0.000000,0,
180,44,3.898830,44,0.278689,44,2.086538
181,0,0.000000,0,0.000000,0,
182,4,0.648649,4,0.000000,4,2.757212
183,22,1.597569,22,0.083333,22,2.430288
184,3,0.358554,3,0.000000,3,2.908654
185,2,0.226124,2,0.000000,2,2.896635
186,22,2.051563,22,0.153846,22,2.442308
187,3,0.310517,3,0.250000,3,2.915865
188,4,0.648649,4,0.000000,4,3.745192
189,4,0.528238,4,0.200000,4,2.944712
190,1,0.162162,1,0.000000,1,2.963942
191,8,0.472780,8,0.000000,8,2.617788
192,1,0.162162,1,0.000000,1,2.963942
193,13,0.743120,13,0.000000,13,2.439904
194,2,0.226124,2,0.000000,2,2.944712
195,19,1.953439,19,0.050000,19,2.423077
196,4,0.508510,4,0.000000,4,2.788462
197,2,0.324324,2,0.000000,2,3.899038
198,45,2.964854,45,0.181818,45,2.057692
199,6,0.912537,6,0.333333,6,2.954327
200,17,1.882215,17,0.190476,17,2.564904
201,14,1.306834,14,0.176471,14,2.497596
202,15,2.123987,15,0.000000,15,2.579327
203,7,0.561746,7,0.000000,7,2.641827
204,50,5.367842,50,0.193548,50,2.185096
205,12,1.644878,12,0.000000,12,2.473558
206,21,2.945822,21,0.000000,21,2.384615
207,13,1.123492,13,0.071429,13,2.456731
208,38,4.519255,38,0.136364,38,2.346154
209,27,2.929660,27,0.181818,27,2.475962
210,40,3.453542,40,0.148936,40,2.310096
211,1,0.162162,1,0.000000,1,2.963942
212,24,2.825068,24,0.111111,24,2.425481
213,2,0.324324,2,0.000000,2,4.872596
214,51,6.581622,51,0.281690,51,2.125000
215,16,1.481318,16,0.058824,16,2.500000
216,6,0.799927,6,0.142857,6,2.975962
217,4,0.452249,4,0.000000,4,2.872596
218,9,0.563045,9,0.181818,9,2.562500
219,17,1.733526,17,0.000000,17,2.403846
220,19,1.822672,19,0.136364,19,2.533654
221,5,0.593365,5,0.166667,5,2.814904
222,5,0.810811,5,0.000000,5,2.983173
223,19,3.081081,19,0.000000,19,2.502404
224,26,1.969823,26,0.212121,26,2.298077
225,0,0.000000,0,0.000000,0,
226,32,4.712168,32,0.030303,32,2.413462
227,5,0.341868,5,0.000000,5,2.579327
228,4,0.387911,4,0.000000,4,2.747596
229,7,1.135135,7,0.000000,7,3.463942
230,4,0.648649,4,0.000000,4,3.555288
231,3,0.358554,3,0.000000,3,2.884615
232,1,0.162162,1,0.000000,1,2.824519
233,21,2.498210,21,0.045455,21,2.516827
234,5,0.493937,5,0.166667,5,2.687500
235,0,0.000000,0,0.000000,0,
236,2,0.324324,2,0.000000,2,2.908654
237,0,0.000000,0,0.000000,0,
238,6,0.822439,6,0.000000,6,2.805288
239,28,4.540541,28,0.000000,28,2.437500
240,11,0.800840,11,0.000000,11,2.533654
241,3,0.387911,3,0.250000,3,2.995192
242,2,0.324324,2,0.000000,2,2.829327
243,18,0.971470,18,0.181818,18,2.305288
244,3,0.310517,3,0.250000,3,2.783654
245,2,0.324324,2,0.000000,2,3.004808
246,1,0.162162,1,0.000000,1,3.093750
247,3,0.486486,3,0.000000,3,3.043269
248,1,0.162162,1,0.000000,1,4.040865
249,10,1.081757,10,0.000000,10,2.560096
250,16,2.433333,16,0.000000,16,2.519231
251,99,11.287918,99,0.201613,99,1.949519
252,1,0.162162,1,0.000000,1,2.963942
253,5,0.435798,5,0.166667,5,2.548077
254,16,2.594595,16,0.000000,16,2.649038
255,39,3.920689,39,0.025000,39,2.322115
256,4,0.648649,4,0.000000,4,3.555288
257,2,0.324324,2,0.000000,2,2.973558
258,1,0.162162,1,0.000000,1,3.146635
259,1,0.162162,1,0.000000,1,3.093750
260,26,3.896394,26,0.000000,26,2.449519
261,9,1.486241,9,0.181818,9,2.605769
262,2,0.324324,2,0.000000,2,3.021635
263,4,0.310517,4,0.000000,4,2.709135
264,16,1.670436,16,0.111111,16,2.514423
265,1,0.162162,1,0.000000,1,3.439904
266,15,1.077019,15,0.000000,15,2.408654
267,10,1.081757,10,0.000000,10,2.704327
268,3,0.486486,3,0.000000,3,2.995192
269,9,0.818879,9,0.000000,9,2.555288
270,4,0.593365,4,0.333333,4,2.699519
271,3,0.358554,3,0.000000,3,2.884615
272,3,0.310517,3,0.250000,3,3.002404
273,2,0.324324,2,0.000000,2,2.812500
274,6,0.621034,6,0.250000,6,2.543269
275,15,1.079052,15,0.062500,15,2.435096
276,3,0.358554,3,0.000000,3,2.870192
277,20,1.534126,20,0.047619,20,2.384615
278,1,0.162162,1,0.000000,1,3.093750
279,6,0.593365,6,0.000000,6,2.656250
280,2,0.324324,2,0.000000,2,2.812500
281,9,1.148569,9,0.000000,9,2.591346
282,16,1.053707,16,0.000000,16,2.480769
283,15,1.823874,15,0.062500,15,2.447115
284,7,1.135135,7,0.000000,7,3.884615
285,10,1.154279,10,0.000000,10,2.586538
286,5,0.341868,5,0.000000,5,2.596154
287,2,0.226124,2,0.000000,2,2.742788
288,15,1.553055,15,0.210526,15,2.569712
289,2,0.324324,2,0.000000,2,2.899038
290,4,0.648649,4,0.000000,4,2.992788
291,3,0.486486,3,0.000000,3,3.002404
292,14,2.109840,14,0.000000,14,2.564904
293,10,1.177461,10,0.000000,10,2.709135
294,1,0.162162,1,0.000000,1,3.093750
295,0,0.000000,0,0.000000,0,
296,0,0.000000,0,0.000000,0,
297,7,0.621034,7,0.125000,7,2.735577
298,0,0.000000,0,0.000000,0,
299,4,0.387911,4,0.000000,4,2.757212
300,1,0.162162,1,0.000000,1,3.093750
301,4,0.387911,4,0.000000,4,2.848558
302,8,0.674052,8,0.111111,8,2.552885
303,3,0.358554,3,0.000000,3,2.877404
304,31,3.931852,31,0.162162,31,2.418269
305,10,0.800840,10,0.090909,10,2.564904
306,5,0.413434,5,0.000000,5,2.641827
307,17,1.824675,17,0.000000,17,2.461538
308,7,0.833029,7,0.000000,7,2.680288
309,8,1.142192,8,0.000000,8,2.605769
310,4,0.664227,4,0.200000,4,2.980769
311,17,2.048356,17,0.105263,17,2.435096
312,2,0.272960,2,0.333333,2,2.812500
313,12,1.356746,12,0.000000,12,2.531250
314,1,0.162162,1,0.000000,1,2.951923
315,1,0.162162,1,0.000000,1,3.057692
316,0,0.000000,0,0.000000,0,
317,15,2.123987,15,0.000000,15,2.596154
318,6,0.545919,6,0.000000,6,2.668269
319,6,0.545919,6,0.000000,6,2.709135
320,2,0.324324,2,0.000000,2,2.908654
321,1,0.162162,1,0.000000,1,3.100962
322,0,0.000000,0,0.000000,0,
323,2,0.324324,2,0.000000,2,3.021635
324,2,0.226124,2,0.000000,2,2.968750
325,4,0.387911,4,0.000000,4,2.805288
326,1,0.162162,1,0.000000,1,3.783654
327,6,0.593365,6,0.000000,6,2.728365
328,3,0.452249,3,0.250000,3,2.807692
329,0,0.000000,0,0.000000,0,
330,1,0.162162,1,0.000000,1,3.067308
331,1,0.162162,1,0.000000,1,3.100962
332,5,0.474322,5,0.000000,5,2.639423
333,6,0.822439,6,0.000000,6,2.625000
334,3,0.486486,3,0.000000,3,3.045673
335,2,0.226124,2,0.000000,2,2.899038
336,3,0.486486,3,0.000000,3,4.867788
337,1,0.162162,1,0.000000,1,2.884615
338,1,0.162162,1,0.000000,1,2.927885
339,0,0.000000,0,0.000000,0,
340,3,0.486486,3,0.000000,3,2.757212
341,1,0.162162,1,0.000000,1,3.139423
342,1,0.162162,1,0.000000,1,3.100962
343,13,1.647541,13,0.000000,13,2.552885
344,14,2.270270,14,0.000000,14,2.675481
345,6,0.678373,6,0.000000,6,2.596154
346,4,0.508510,4,0.000000,4,2.927885
347,7,1.135135,7,0.000000,7,2.781250
348,4,0.508510,4,0.000000,4,2.682692
349,3,0.272960,3,0.000000,3,2.754808
350,24,3.891892,24,0.000000,24,2.473558
351,5,0.545919,5,0.166667,5,2.639423
352,8,1.024178,8,0.111111,8,2.680288
353,1,0.162162,1,0.000000,1,3.100962
354,6,0.822439,6,0.000000,6,2.653846
355,6,0.972973,6,0.000000,6,2.923077
356,2,0.324324,2,0.000000,2,3.899038
357,7,0.740166,7,0.125000,7,2.692308
358,11,1.628364,11,0.083333,11,2.677885
359,21,3.405405,21,0.000000,21,2.509615
360,1,0.162162,1,0.000000,1,2.973558
361,4,0.508510,4,0.000000,4,2.925481
362,0,0.000000,0,0.000000,0,
363,6,0.822439,6,0.000000,6,2.728365
364,1,0.162162,1,0.000000,1,3.343750
365,1,0.162162,1,0.000000,1,3.435096
366,2,0.324324,2,0.000000,2,3.781250
367,2,0.324324,2,0.000000,2,2.923077
368,7,1.135135,7,0.000000,7,2.793269
369,2,0.324324,2,0.000000,2,2.812500
370,1,0.162162,1,0.000000,1,3.093750
371,2,0.324324,2,0.000000,2,2.891827
372,4,0.648649,4,0.000000,4,4.646635
373,2,0.324324,2,0.000000,2,2.923077
374,1,0.162162,1,0.000000,1,2.884615
375,5,0.810811,5,0.000000,5,2.711538
376,1,0.162162,1,0.000000,1,3.062500
377,2,0.226124,2,0.000000,2,2.846154
378,3,0.486486,3,0.000000,3,3.713942
379,1,0.162162,1,0.000000,1,2.963942
380,6,0.717108,6,0.000000,6,2.716346
381,1,0.162162,1,0.000000,1,3.122596
382,6,0.972973,6,0.000000,6,2.759615
383,10,1.291654,10,0.090909,10,2.711538
384,0,0.000000,0,0.000000,0,
385,11,1.783784,11,0.000000,11,2.596154
386,4,0.310517,4,0.000000,4,2.675481
387,5,0.577139,5,0.000000,5,2.812500
388,4,0.648649,4,0.000000,4,2.995192
389,0,0.000000,0,0.000000,0,
390,2,0.226124,2,0.000000,2,2.971154
391,2,0.324324,2,0.000000,2,3.146635
392,1,0.162162,1,0.000000,1,3.100962
393,2,0.324324,2,0.000000,2,3.045673
394,1,0.162162,1,0.000000,1,3.216346
395,3,0.486486,3,0.000000,3,3.002404
396,3,0.486486,3,0.000000,3,3.088942
397,1,0.162162,1,0.000000,1,3.591346
398,1,0.162162,1,0.000000,1,3.468750
399,3,0.358554,3,0.000000,3,2.819712
400,2,0.324324,2,0.000000,2,3.276442
401,4,0.648649,4,0.000000,4,2.781250
402,3,0.358554,3,0.000000,3,2.877404
403,1,0.162162,1,0.000000,1,3.100962
404,1,0.162162,1,0.000000,1,3.288462
405,0,0.000000,0,0.000000,0,
406,1,0.162162,1,0.000000,1,3.105769
407,2,0.226124,2,0.000000,2,3.252404
408,1,0.162162,1,0.000000,1,3.199519
409,2,0.324324,2,0.000000,2,3.490385
410,2,0.324324,2,0.000000,2,2.877404
411,1,0.162162,1,0.000000,1,3.471154
412,2,0.324324,2,0.000000,2,2.963942
413,2,0.324324,2,0.000000,2,3.430288
414,0,0.000000,0,0.000000,0,
415,1,0.162162,1,0.000000,1,3.225962
416,0,0.000000,0,0.000000,0,
417,1,0.162162,1,0.000000,1,3.908654
418,0,0.000000,0,0.000000,0,
419,0,0.000000,0,0.000000,0,
420,3,0.358554,3,0.000000,3,3.161058
421,2,0.324324,2,0.000000,2,3.209135
422,2,0.324324,2,0.000000,2,2.939904
423,0,0.000000,0,0.000000,0,
424,0,0.000000,0,0.000000,0,
425,1,0.162162,1,0.000000,1,3.100962
426,2,0.324324,2,0.000000,2,3.326923
427,1,0.162162,1,0.000000,1,3.100962
428,2,0.226124,2,0.000000,2,2.896635
429,1,0.162162,1,0.000000,1,3.033654
430,2,0.226124,2,0.000000,2,2.793269
431,1,0.162162,1,0.000000,1,3.307692
432,3,0.358554,3,0.000000,3,2.764423
433,4,0.648649,4,0.000000,4,2.915865
434,1,0.162162,1,0.000000,1,3.100962
435,3,0.358554,3,0.000000,3,3.192308
436,2,0.324324,2,0.000000,2,2.819712
437,1,0.162162,1,0.000000,1,3.420673
438,1,0.162162,1,0.000000,1,3.084135
439,4,0.648649,4,0.000000,4,2.757212
440,1,0.162162,1,0.000000,1,2.884615
441,1,0.162162,1,0.000000,1,3.122596
442,2,0.324324,2,0.000000,2,3.103365
443,1,0.162162,1,0.000000,1,3.100962
444,1,0.162162,1,0.000000,1,4.189904
445,0,0.000000,0,0.000000,0,
446,2,0.324324,2,0.000000,2,3.103365
447,1,0.162162,1,0.000000,1,3.411058
448,1,0.162162,1,0.000000,1,3.033654
449,1,0.162162,1,0.000000,1,2.961538
