Node,DegreeDeviation
146,3.187356
147,0.358554
148,0.810811
149,0.226124
150,0.162162
151,0.972973
152,0.810811
153,0.577139
154,0.992301
155,0.810811
156,0.324324
157,0.324324
158,0.577139
159,0.474322
160,0.162162
161,0.162162
162,1.177461
163,0.681596
164,0.674052
165,8.895136
166,0.648649
167,0.486486
168,2.258658
169,0.162162
170,0.691174
171,0.226124
172,3.155109
173,0.324324
174,0.871595
175,0.324324
176,0.413434
177,0.162162
178,0.000000
179,0.000000
180,3.898830
181,0.000000
182,0.648649
183,1.597569
184,0.358554
185,0.226124
186,2.051563
187,0.310517
188,0.648649
189,0.528238
190,0.162162
191,0.472780
192,0.162162
193,0.743120
194,0.226124
195,1.953439
196,0.508510
197,0.324324
198,2.964854
199,0.912537
200,1.882215
201,1.306834
202,2.123987
203,0.561746
204,5.367842
205,1.644878
206,2.945822
207,1.123492
208,4.519255
209,2.929660
210,3.453542
211,0.162162
212,2.825068
213,0.324324
214,6.581622
215,1.481318
216,0.799927
217,0.452249
218,0.563045
219,1.733526
220,1.822672
221,0.593365
222,0.810811
223,3.081081
224,1.969823
225,0.000000
226,4.712168
227,0.341868
228,0.387911
229,1.135135
230,0.648649
231,0.358554
232,0.162162
233,2.498210
234,0.493937
235,0.000000
236,0.324324
237,0.000000
238,0.822439
239,4.540541
240,0.800840
241,0.387911
242,0.324324
243,0.971470
244,0.310517
245,0.324324
246,0.162162
247,0.486486
248,0.162162
249,1.081757
250,2.433333
251,11.287918
252,0.162162
253,0.435798
254,2.594595
255,3.920689
256,0.648649
257,0.324324
258,0.162162
259,0.162162
260,3.896394
261,1.486241
262,0.324324
263,0.310517
264,1.670436
265,0.162162
266,1.077019
267,1.081757
268,0.486486
269,0.818879
270,0.593365
271,0.358554
272,0.310517
273,0.324324
274,0.621034
275,1.079052
276,0.358554
277,1.534126
278,0.162162
279,0.593365
280,0.324324
281,1.148569
282,1.053707
283,1.823874
284,1.135135
285,1.154279
286,0.341868
287,0.226124
288,1.553055
289,0.324324
290,0.648649
291,0.486486
292,2.109840
293,1.177461
294,0.162162
295,0.000000
296,0.000000
297,0.621034
298,0.000000
299,0.387911
300,0.162162
301,0.387911
302,0.674052
303,0.358554
304,3.931852
305,0.800840
306,0.413434
307,1.824675
308,0.833029
309,1.142192
310,0.664227
311,2.048356
312,0.272960
313,1.356746
314,0.162162
315,0.162162
316,0.000000
317,2.123987
318,0.545919
319,0.545919
320,0.324324
321,0.162162
322,0.000000
323,0.324324
324,0.226124
325,0.387911
326,0.162162
327,0.593365
328,0.452249
329,0.000000
330,0.162162
331,0.162162
332,0.474322
333,0.822439
334,0.486486
335,0.226124
336,0.486486
337,0.162162
338,0.162162
339,0.000000
340,0.486486
341,0.162162
342,0.162162
343,1.647541
344,2.270270
345,0.678373
346,0.508510
347,1.135135
348,0.508510
349,0.272960
350,3.891892
351,0.545919
352,1.024178
353,0.162162
354,0.822439
355,0.972973
356,0.324324
357,0.740166
358,1.628364
359,3.405405
360,0.162162
361,0.508510
362,0.000000
363,0.822439
364,0.162162
365,0.162162
366,0.324324
367,0.324324
368,1.135135
369,0.324324
370,0.162162
371,0.324324
372,0.648649
373,0.324324
374,0.162162
375,0.810811
376,0.162162
377,0.226124
378,0.486486
379,0.162162
380,0.717108
381,0.162162
382,0.972973
383,1.291654
384,0.000000
385,1.783784
386,0.310517
387,0.577139
388,0.648649
389,0.000000
390,0.226124
391,0.324324
392,0.162162
393,0.324324
394,0.162162
395,0.486486
396,0.486486
397,0.162162
398,0.162162
399,0.358554
400,0.324324
401,0.648649
402,0.358554
403,0.162162
404,0.162162
405,0.000000
406,0.162162
407,0.226124
408,0.162162
409,0.324324
410,0.324324
411,0.162162
412,0.324324
413,0.324324
414,0.000000
415,0.162162
416,0.000000
417,0.162162
418,0.000000
419,0.000000
420,0.358554
421,0.324324
422,0.324324
423,0.000000
424,0.000000
425,0.162162
426,0.324324
427,0.162162
428,0.226124
429,0.162162
430,0.226124
431,0.162162
432,0.358554
433,0.648649
434,0.162162
435,0.358554
436,0.324324
437,0.162162
438,0.162162
439,0.648649
440,0.162162
441,0.162162
442,0.324324
443,0.162162
444,0.162162
445,0.000000
446,0.324324
447,0.162162
448,0.162162
449,0.162162
